tiempo_s,valor_raw
6.029833555221558,-65669.0
6.029833555221558,-65684.0
6.029833555221558,-65690.0
6.061074733734131,-65697.0
6.061074733734131,-65709.0
6.061074733734131,-65722.0
6.076695203781128,-65751.0
6.076695203781128,-65751.0
6.076695203781128,-65765.0
6.10793924331665,-65786.0
6.10793924331665,-65805.0
6.10793924331665,-65825.0
6.139181852340698,-65839.0
6.139181852340698,-65862.0
6.154807090759277,-65881.0
6.154807090759277,-65895.0
6.17042350769043,-65899.0
6.17042350769043,-65906.0
6.17042350769043,-65921.0
6.201666593551636,-65929.0
6.201666593551636,-65935.0
6.232909440994263,-65938.0
6.232909440994263,-65948.0
6.2641518115997314,-65953.0
6.2641518115997314,-65958.0
6.2641518115997314,-65954.0
6.279773235321045,-65927.0
6.279773235321045,-65887.0
6.279773235321045,-65837.0
6.31101655960083,-65760.0
6.31101655960083,-65646.0
6.31101655960083,-65530.0
6.31101655960083,-65429.0
6.342258453369141,-65343.0
6.342258453369141,-65264.0
6.357881546020508,-65222.0
6.357881546020508,-65187.0
6.373501539230347,-65174.0
6.373501539230347,-65158.0
6.404747247695923,-65159.0
6.404747247695923,-65166.0
6.4359869956970215,-65173.0
6.4359869956970215,-65179.0
6.4359869956970215,-65184.0
6.467228651046753,-65185.0
6.467228651046753,-65201.0
6.498470783233643,-65214.0
6.498470783233643,-65217.0
6.498470783233643,-65240.0
6.498470783233643,-65258.0
6.529714345932007,-65282.0
6.529714345932007,-65299.0
6.529714345932007,-65324.0
6.560957193374634,-65335.0
6.560957193374634,-65339.0
6.560957193374634,-65352.0
6.592203140258789,-65356.0
6.592203140258789,-65358.0
6.592203140258789,-65357.0
6.6234424114227295,-65357.0
6.6234424114227295,-65366.0
6.6234424114227295,-65379.0
6.654685020446777,-65376.0
6.654685020446777,-65391.0
6.654685020446777,-65404.0
6.670306205749512,-65412.0
6.670306205749512,-65417.0
6.670306205749512,-65422.0
6.701549291610718,-65429.0
6.701549291610718,-65435.0
6.701549291610718,-65439.0
6.732792377471924,-65446.0
6.732792377471924,-65460.0
6.732792377471924,-65472.0
6.732792377471924,-65485.0
6.764034271240234,-65497.0
6.764034271240234,-65512.0
6.77966046333313,-65529.0
6.795278310775757,-65529.0
6.795278310775757,-65536.0
6.826519250869751,-65553.0
6.826519250869751,-65552.0
6.826519250869751,-65549.0
6.857762336730957,-65568.0
6.857762336730957,-65588.0
6.889004230499268,-65618.0
6.889004230499268,-65624.0
6.889004230499268,-65653.0
6.889004230499268,-65667.0
6.920247316360474,-65678.0
6.920247316360474,-65687.0
6.920247316360474,-65700.0
6.95149040222168,-65711.0
6.95149040222168,-65715.0
6.95149040222168,-65720.0
6.982732772827148,-65727.0
6.982732772827148,-65736.0
6.982732772827148,-65741.0
6.99835467338562,-65742.0
6.99835467338562,-65754.0
7.013975381851196,-65762.0
7.029598951339722,-65773.0
7.029598951339722,-65779.0
7.045218229293823,-65786.0
7.045218229293823,-65783.0
7.045218229293823,-65771.0
7.076462268829346,-65754.0
7.076462268829346,-65724.0
7.09208345413208,-65684.0
7.10770320892334,-65638.0
7.123328685760498,-65523.0
7.123328685760498,-65434.0
7.138946056365967,-65330.0
7.138946056365967,-65241.0
7.138946056365967,-65152.0
7.170188903808594,-65092.0
7.170188903808594,-65042.0
7.1858110427856445,-65007.0
7.201432704925537,-64982.0
7.201432704925537,-64966.0
7.217056035995483,-64970.0
7.248295783996582,-64970.0
7.248295783996582,-64979.0
7.248295783996582,-65000.0
7.248295783996582,-65014.0
7.263916969299316,-65025.0
7.263916969299316,-65038.0
7.279538631439209,-65052.0
7.295159816741943,-65074.0
7.295159816741943,-65086.0
7.3107829093933105,-65104.0
7.326403617858887,-65113.0
7.326403617858887,-65126.0
7.342023849487305,-65145.0
7.357645273208618,-65155.0
7.357645273208618,-65181.0
7.357645273208618,-65193.0
7.373265981674194,-65211.0
7.373265981674194,-65215.0
7.4045093059539795,-65220.0
7.4045093059539795,-65217.0
7.4045093059539795,-65210.0
7.43575644493103,-65213.0
7.43575644493103,-65212.0
7.43575644493103,-65204.0
7.43575644493103,-65205.0
7.43575644493103,-65211.0
7.482615232467651,-65222.0
7.482615232467651,-65224.0
7.482615232467651,-65235.0
7.482615232467651,-65246.0
7.529479742050171,-65261.0
7.529479742050171,-65274.0
7.529479742050171,-65291.0
7.529479742050171,-65293.0
7.529479742050171,-65300.0
7.545102119445801,-65310.0
7.59196662902832,-65321.0
7.59196662902832,-65313.0
7.59196662902832,-65338.0
7.607586145401001,-65354.0
7.607586145401001,-65373.0
7.623207330703735,-65394.0
7.623207330703735,-65412.0
7.623207330703735,-65435.0
7.654449939727783,-65447.0
7.654449939727783,-65455.0
7.670071840286255,-65458.0
7.701315641403198,-65465.0
7.701315641403198,-65456.0
7.716935396194458,-65458.0
7.716935396194458,-65463.0
7.716935396194458,-65462.0
7.73255729675293,-65472.0
7.73255729675293,-65483.0
7.73255729675293,-65490.0
7.779421806335449,-65504.0
7.779421806335449,-65510.0
7.779421806335449,-65511.0
7.779421806335449,-65526.0
7.779421806335449,-65533.0
7.795043230056763,-65539.0
7.826284646987915,-65529.0
7.841906547546387,-65517.0
7.841906547546387,-65487.0
7.873149394989014,-65460.0
7.873149394989014,-65420.0
7.873149394989014,-65371.0
7.888769626617432,-65268.0
7.904393672943115,-65161.0
7.920012712478638,-65029.0
7.920012712478638,-64918.0
7.920012712478638,-64820.0
7.951255559921265,-64741.0
7.951255559921265,-64688.0
7.982497692108154,-64656.0
7.982497692108154,-64634.0
7.982497692108154,-64625.0
7.998121023178101,-64629.0
7.998121023178101,-64640.0
7.998121023178101,-64651.0
8.01374077796936,-64664.0
8.01374077796936,-64686.0
8.01374077796936,-64709.0
8.060605525970459,-64734.0
8.060605525970459,-64762.0
8.060605525970459,-64790.0
8.060605525970459,-64794.0
8.060605525970459,-64819.0
8.107470750808716,-64842.0
8.107470750808716,-64869.0
8.107470750808716,-64896.0
8.123089790344238,-64924.0
8.154333114624023,-64952.0
8.154333114624023,-64953.0
8.154333114624023,-64976.0
8.154333114624023,-64982.0
8.169955492019653,-64988.0
8.201196670532227,-64999.0
8.201196670532227,-64994.0
8.232439756393433,-64988.0
8.232439756393433,-64982.0
8.232439756393433,-64989.0
8.248061180114746,-64984.0
8.248061180114746,-64987.0
8.248061180114746,-64995.0
8.279303550720215,-65003.0
8.279303550720215,-65015.0
8.29492712020874,-65028.0
8.29492712020874,-65045.0
8.29492712020874,-65050.0
8.29492712020874,-65064.0
8.29492712020874,-65069.0
8.34178876876831,-65078.0
8.34178876876831,-65084.0
8.34178876876831,-65092.0
8.34178876876831,-65114.0
8.373031377792358,-65146.0
8.404385328292847,-65125.0
8.404385328292847,-65165.0
8.419896364212036,-65192.0
8.419896364212036,-65216.0
8.419896364212036,-65230.0
8.451138973236084,-65247.0
8.451138973236084,-65259.0
8.466760158538818,-65280.0
8.466760158538818,-65292.0
8.466760158538818,-65297.0
8.482381105422974,-65320.0
8.482381105422974,-65328.0
8.498003005981445,-65337.0
8.513622760772705,-65342.0
8.544866800308228,-65349.0
8.544866800308228,-65353.0
8.544866800308228,-65366.0
8.576109886169434,-65375.0
