tiempo_s,primera_derivada,segunda_derivada
24.75831151008606,-22649.22740095062,267851.057586995
24.768434047698975,-20506.41894025466,392618.45010412345
24.80016255378723,-16367.332199284647,499069.5700684569
24.80122208595276,-12521.305819159352,462437.0249627532
24.823705911636353,-8968.339799880596,425804.4798570495
24.85638165473938,-5708.43414144656,389171.9347515163
24.862959623336792,-2741.5888438563343,352539.3896458695
24.881491899490356,-67.80390711264772,315906.8445401658
24.913405179977417,2312.920668786319,279274.29943451897
24.922393321990967,4400.584883839656,242641.7543288153
24.94899272918701,6195.188738047364,206009.2092232253
24.96253776550293,7696.732231411261,291347.0752596936
24.984960556030273,10856.741942202461,232449.91537313806
25.033283710479736,11415.93087738147,-74695.3883863739
25.042286157608032,9661.615728020479,-99649.68696198185
25.04902219772339,9821.53588598976,6406.679258361692
25.07204556465149,9764.122596154266,-20806.951837300858
25.079642295837402,9488.624656592947,-56069.17496555752
25.112552165985107,8867.015796705346,-88380.24768192554
25.12547278404236,8074.540693682138,-106437.26390816255
25.151044845581055,7164.019574174745,-132542.87216693684
25.169230222702026,5953.854739011149,-170568.44522659277
25.17950439453125,4434.924450549261,-209887.15873977524
25.202098846435547,2595.660199174745,-248089.80082417518
25.241552591323853,465.48763736245746,-262532.9992271759
25.242478132247925,-1604.8677884600693,-225486.67153148472
25.28179144859314,-3142.299107141298,-139663.1932522041
25.282540798187256,-3839.478880495335,-42006.94325214726
25.303049087524414,-3814.4101991756543,25620.009873023264
25.329368591308594,-3429.558722526963,50841.614440173544
25.339296102523804,-3000.9443681328776,48448.499742391956
25.36303472518921,-2654.3827266486915,34219.93046015359
25.398494720458984,-2453.42548077042,12262.029962244014
25.399474382400513,-2458.1902472527872,-6342.29052189994
25.41958975791931,-2554.902129120819,-8426.87585850399
25.449095964431763,-2593.020260988851,-7047.8837568543895
25.46620488166809,-2667.6682692304894,-17743.1211366752
25.498496770858765,-2876.9101991756543,-29083.587311106385
25.49919056892395,-3133.0056662081915,-32958.98437511369
25.52449631690979,-3404.2539491774733,-30258.68174796642
25.55415987968445,-3617.1445741756543,-13117.86358161271
25.573403120040894,-3614.1397664832766,10487.315418913568
25.580474615097046,-3449.347527473037,23559.570312556843
25.603803873062134,-3237.186641482367,24686.373197198463
25.62343406677246,-3054.365556317862,7165.929773236712
25.64570188522339,-3122.5317651105797,-36657.31241420644
25.672157526016235,-3640.882554945165,-79045.22235571676
25.68452787399292,-4387.255322802048,-71395.03562848404
25.71450448036194,-4783.2031250009095,-1585.5726304607742
25.72857403755188,-4412.62448488942,104869.12989364327
25.741799116134644,-3105.297046702617,207490.0197457623
25.772643327713013,-1092.7841689572233,266986.5534854807
25.79223108291626,1166.4878090650745,277893.7371222696
25.799545288085938,3353.5156249990905,259363.1953983504
25.825209856033325,5316.298935438681,238143.08250354088
25.84298300743103,7163.804945055745,225245.21377079055
25.875423669815063,8920.22235577133,205743.47527468717
25.894761323928833,10455.70054945074,170693.19840288698
25.899622678756714,11651.313530217521,122468.7178056456
25.93240785598755,12415.20003434107,70449.3260648178
25.968129634857178,12778.502747254606,21941.803313893615
25.96875524520874,12766.268887363367,-23005.558894340083
25.990644216537476,12410.413804945165,-63389.369419667215
26.000184059143066,11752.038976648691,-97570.39835159275
26.026094436645508,10849.28743131968,-125771.3234031712
26.04899263381958,9739.697802197952,-149391.25815607212
26.05900001525879,8459.027300822527,-176728.30099593283
26.082799434661865,6912.044986263027,-215113.37783300632
26.110968351364136,5017.2132554944255,-258705.89371555753
26.128256797790527,2772.7506868141063,-297627.5433551336
26.14015030860901,255.1725618122873,-305262.9743305033
26.164344310760498,-2111.4569024739467,-250016.09718401596
26.18062996864319,-3745.084993131968,-140559.26983149903
26.21257472038269,-4360.405219777931,-29995.76107475832
26.231526613235474,-4225.017170328101,31554.50506494617
26.23978877067566,-3855.5331387387923,32465.337396843097
26.262743711471558,-3705.5717719786117,3138.9508930033116
26.279470443725586,-3805.3099244507393,-14290.275154507981
26.311779022216797,-3934.2161744507393,-17445.323231413568
26.33210039138794,-4084.4350961533564,-17058.990813836772
26.340479135513306,-4207.160027472128,-19220.037774630327
26.3660671710968,-4391.955700547442,-23562.253176464765
26.385547161102295,-4584.156078295564,-25607.93698512498
26.421058416366577,-4801.682692309441,-34250.78339637366
26.421971559524536,-5132.1686126375425,-37933.01425133677
26.442636251449585,-5408.61092033083,-36116.71531592719
26.479180812835693,-5710.036057692378,-33916.7668267919
26.479977130889893,-5951.2791895595,-14702.094780204789
26.50209927558899,-5945.269574175654,9041.251717007981
26.529701709747314,-5806.619162087372,-48.291552275259164
26.54073190689087,-5946.042239012058,-51168.923849672865
26.562708616256714,-6625.321943682138,-98171.35989004555
26.597126007080078,-7516.783997252787,-81596.62603014795
26.598649501800537,-7930.867960164505,3220.77824517919
26.62241005897522,-7465.25154532992,109808.28253775598
26.648671627044678,-6173.93543956041,200371.04009281847
26.667566299438477,-4259.314903844825,254323.43535374003
26.70242667198181,-2104.760473900569,264472.7099071815
26.703161239624023,-27.75154532992019,242659.68406587036
26.72229552268982,1777.7944711533564,204879.59306308313
26.74562692642212,3250.3219436794097,173539.7171188424
26.76906394958496,4554.429945054835,159641.14011012498
26.778817653656006,5804.580185441409,142747.1454325655
26.806073427200317,6838.384271975883,103392.21325534709
26.828754425048828,7458.855597526963,49480.06095492019
26.861156225204468,7630.065247254606,-4314.045329635974
26.861887216567993,7389.830872252787,-38991.40410379686
26.882230281829834,7006.202781593856,-56580.26055965592
26.898566484451294,6484.546703298292,-79895.69024726961
