tiempo_s,ppg_suavizada
24.75831151008606,-66748.37775251566
24.768434047698975,-66929.57157172327
24.80016255378723,-67076.48045555974
24.80122208595276,-67191.44888691182
24.823705911636353,-67276.82134866629
24.85638165473938,-67334.94232370991
24.862959623336792,-67368.15629492943
24.881491899490356,-67378.80774521161
24.913405179977417,-67369.24115744323
24.922393321990967,-67341.80101451103
24.94899272918701,-67298.8317993018
24.96253776550293,-67242.67799470227
24.984960556030273,-67175.68408359922
25.033283710479736,-67068.97012362703
25.042286157608032,-66993.02918956112
25.04902219772339,-66914.3842719787
25.07204556465149,-66835.88461538528
25.079642295837402,-66758.15831044024
25.112552165985107,-66684.06662087979
25.12547278404236,-66616.28605769295
25.151044845581055,-66554.87396978088
25.169230222702026,-66501.66174450616
25.17950439453125,-66459.6122939567
25.202098846435547,-66430.70295329737
25.241552591323853,-66418.0817307699
25.242478132247925,-66423.25515109957
25.28179144859314,-66443.75961538526
25.282540798187256,-66473.53193681383
25.303049087524414,-66505.19127747319
25.329368591308594,-66534.56250000064
25.339296102523804,-66560.06421703362
25.36303472518921,-66582.57760989077
25.398494720458984,-66602.53434066
25.399474382400513,-66621.8324175831
25.41958975791931,-66641.86538461605
25.449095964431763,-66662.71085164903
25.46620488166809,-66683.35370879187
25.498496770858765,-66705.39354395671
25.49919056892395,-66729.38427197868
25.52449631690979,-66755.52163461605
25.55415987968445,-66783.85233516552
25.573403120040894,-66813.39594780286
25.580474615097046,-66841.67857142925
25.603803873062134,-66868.58550824242
25.62343406677246,-66893.47355769297
25.64570188522339,-66917.45535714351
25.672157526016235,-66943.43406593474
25.68452787399292,-66975.70947802263
25.71450448036194,-67013.63015109957
25.72857403755188,-67052.24072802265
25.741799116134644,-67084.2321428578
25.772643327713013,-67101.92548076989
25.79223108291626,-67101.71668956112
25.799545288085938,-67083.26167582485
25.825209856033325,-67048.06043956113
25.84298300743103,-66998.20089285783
25.875423669815063,-66933.43956044024
25.894761323928833,-66855.47733516549
25.899622678756714,-66766.14835164903
25.93240785598755,-66669.056318682
25.968129634857178,-66567.50515109957
25.96875524520874,-66464.60027472593
25.990644216537476,-66363.24484890176
26.000184059143066,-66266.03365384681
26.026094436645508,-66175.21222527538
26.04899263381958,-66092.4450549457
26.05900001525879,-66019.37706044021
26.082799434661865,-65957.10061813254
26.110968351364136,-65908.78434066
26.128256797790527,-65876.82520604462
26.14015030860901,-65864.42032967097
26.164344310760498,-65872.74244505563
26.18062996864319,-65898.20364011056
26.21257472038269,-65932.66380494574
26.231526613235474,-65967.970123627
26.23978877067566,-66000.26407967099
26.262743711471558,-66029.65865384683
26.279470443725586,-66059.55322802265
26.311779022216797,-66090.54361263804
26.33210039138794,-66122.50068681386
26.340479135513306,-66155.89457417649
26.3660671710968,-66189.81524725341
26.385547161102295,-66226.16586538525
26.421058416366577,-66263.16174450614
26.421971559524536,-66302.9927884622
26.442636251449585,-66345.27644230834
26.479180812835693,-66389.5305631875
