tiempo_s,valor_filt
0.0,64.38211569130891
0.00016307830810546875,-31.602896094082844
0.009322881698608398,-118.7519602690821
0.021398067474365234,-187.13085993584133
0.06303977966308594,-226.74738828999793
0.07883358001708984,-228.8617957857823
0.09311699867248535,-188.34445702499227
0.09348464012145996,-106.52860629193562
0.1265547275543213,6.5749739535077545
0.14673399925231934,132.07579981209466
0.17008543014526367,244.9473451506209
0.17981219291687012,319.519454513538
0.21889853477478027,336.1920254078852
0.2192521095275879,287.04060887881644
0.2505342960357666,178.18556276763695
0.26332640647888184,27.940198815575545
0.29318666458129883,-138.64567293398756
0.3119697570800781,-296.82805692856004
0.33576416969299316,-428.18561853047186
0.35323190689086914,-523.5361465120599
0.3717038631439209,-582.1313950156226
0.38777995109558105,-608.1793633136415
0.4249606132507324,-606.8328914147942
0.4252326488494873,-581.8242558376634
0.43520116806030273,-535.9329215526443
0.4631462097167969,-473.8702715585748
0.4798309803009033,-405.642954020271
0.5099594593048096,-347.78448180952256
0.5283613204956055,-320.53352342307124
0.5512862205505371,-340.9666907886275
0.5622689723968506,-414.4163904331055
0.6030871868133545,-528.0151108314668
0.6034035682678223,-649.9958673575773
0.6271140575408936,-736.3537287725188
0.6602976322174072,-743.442035398579
0.66141676902771,-642.3548664712997
0.679185152053833,-429.76046146728896
0.7117753028869629,-130.82658756112673
0.7312006950378418,207.2295326856402
0.7629046440124512,528.7613609008957
0.7636508941650391,785.4683023461547
0.7807989120483398,948.7047836870323
0.8182785511016846,1014.502185027811
0.8358299732208252,1000.6275304741114
0.8363924026489258,937.9122117227818
0.8782808780670166,859.6120592062842
0.8787920475006104,792.4276672628115
0.9295017719268799,751.454350519313
0.9297099113464355,739.5151685196624
0.9470994472503662,749.8336316807068
0.9800138473510742,770.3327109380863
0.9963116645812988,788.0289730897929
1.0121233463287354,792.581089179628
1.0305485725402832,778.5142998203391
1.0542523860931396,745.8217854506926
1.069312334060669,698.8224042955673
1.0861902236938477,643.6008526984701
1.122955322265625,584.9246538736083
1.1232714653015137,523.803437246548
1.154784917831421,456.60657479541396
1.1643264293670654,376.05242944049655
1.1787831783294678,273.73816771488254
1.2117433547973633,143.37687549819964
1.2310600280761719,-16.365460177406767
1.2612197399139404,-200.45996684159812
1.2618999481201172,-398.0480162773559
1.2807934284210205,-594.6899461105335
1.3132266998291016,-775.5431530298931
1.3291969299316406,-928.5736340461938
1.3698387145996094,-1047.1102831491116
1.370248556137085,-1131.2463585915386
1.3790621757507324,-1187.6524170274647
1.4108681678771973,-1227.4716777675574
1.4301846027374268,-1262.3686923179505
1.4542920589447021,-1299.5235756039713
1.464165210723877,-1337.135700898275
1.4809350967407227,-1362.3711893536126
1.5221891403198242,-1353.2604588872402
1.5225274562835693,-1284.7502310932177
1.5551795959472656,-1137.347854774957
1.5668694972991943,-905.3600925972215
1.5799932479858398,-601.4283832917745
1.6132595539093018,-255.23901682372082
1.6307892799377441,93.4570287416581
1.6630158424377441,405.04370733031277
1.6636502742767334,649.6878723556736
1.681422233581543,813.0574618051029
1.7178442478179932,896.6337696622877
1.7341234683990479,913.5574899997107
1.747633934020996,882.6129811695027
1.7872390747070312,823.1041776397722
1.8030829429626465,752.1591692131973
1.8231604099273682,684.2714346960693
1.8342480659484863,631.6475933675098
1.849055528640747,603.8188815595382
1.8856101036071777,605.9243192693339
1.9027235507965088,636.3658012676481
1.9234857559204102,685.2963508954193
1.9357800483703613,735.2354142984984
1.947826862335205,764.2497480754129
1.9889287948608398,751.1072141215138
2.0074832439422607,681.0072392586073
2.033270835876465,550.1563292815965
2.052365779876709,367.72700831961845
2.0546329021453857,154.54957817740697
2.0878732204437256,-61.12085811984655
2.088479518890381,-249.68325317666032
2.100583076477051,-386.7160156613664
2.1417503356933594,-458.5065660442571
2.1648526191711426,-465.28359408281807
2.183375358581543,-421.28787054974447
2.207434892654419,-351.59630730582865
2.225374937057495,-286.46152320121286
2.245116710662842,-254.46292226468302
2.245694160461426,-275.8833681038546
2.2866578102111816,-357.6178395370712
2.287043333053589,-490.71446136860374
2.332895517349243,-651.2448411440448
2.3331754207611084,-804.5280408306543
2.3635969161987305,-911.9786816137379
2.3747498989105225,-939.2908087913702
2.379117727279663,-864.3772473818648
2.4122204780578613,-683.3687763712504
2.4293649196624756,-413.06842768222793
2.461750030517578,-88.7713091924468
2.4621713161468506,242.5708664627703
2.485347032546997,532.4663795740909
2.53381609916687,741.7103195577406
2.5339744091033936,848.8853589292737
2.5509233474731445,854.0712085544459
2.6052517890930176,776.8364803746306
2.6056408882141113,649.5425547891047
2.6294045448303223,508.4607403574063
2.653312921524048,385.48800590069783
2.682804584503174,302.390624726945
2.6851041316986084,268.23442268176996
2.7049601078033447,279.71464118916424
2.7365052700042725,323.7009247489513
2.7598395347595215,381.23967163039424
2.7612054347991943,432.2264410106012
2.7901933193206787,459.8717547293623
2.8152785301208496,454.01002602227214
2.8458614349365234,412.4276707704621
2.8489718437194824,339.878749512859
2.876136064529419,245.26216986290797
2.9006457328796387,138.1827596246199
2.9012796878814697,26.322730746724158
2.926483392715454,-85.48847931418302
2.9266176223754883,-194.58902111423333
2.983741521835327,-299.06550269834577
3.009805202484131,-396.6682444654437
3.0100104808807373,-484.7153810697763
3.010842800140381,-560.9782508768199
3.0216140747070312,-625.0032982543996
3.056394338607788,-679.0938360905698
3.0834271907806396,-728.254666382789
3.104177474975586,-778.7335410366763
3.1046552658081055,-835.2924611560892
3.1533305644989014,-897.8930261512617
3.1535918712615967,-958.9382806391793
3.1663777828216553,-1002.4079579778064
3.212064266204834,-1005.9659128886808
3.233105182647705,-946.2942786794329
3.254516839981079,-806.6499907951229
3.2805705070495605,-584.3898525568114
3.301013708114624,-295.56777278294913
3.3011646270751953,25.855213370326492
3.320708751678467,335.011531868573
3.3211705684661865,587.7156745932334
3.371217727661133,752.7284823261742
3.371509075164795,819.9383343461873
3.4088141918182373,801.1317245462405
3.4223854541778564,723.2800302300229
3.422868013381958,617.629907378597
3.4624269008636475,509.49825099292934
3.4755666255950928,412.79984666657697
3.4872725009918213,330.65921607240927
3.518193483352661,260.463668590332
3.5297458171844482,199.8715306793107
3.56976318359375,150.42366532480213
3.5701823234558105,117.28924110353047
3.6110167503356934,106.07381564321318
3.6243574619293213,119.0617806504837
3.624833822250366,153.09337192762558
3.6642253398895264,199.97900179918514
3.664567708969116,248.95323751653186
3.7086119651794434,289.8795811909651
3.731051206588745,315.8620342129904
3.753556251525879,324.398664039633
3.7796096801757812,316.9468104977348
3.799398422241211,297.43966418363254
3.800025463104248,270.6024649194448
3.8150928020477295,240.76510551614268
3.8274953365325928,211.4130920726735
3.8713836669921875,185.2319211702117
3.889761447906494,164.1350950557433
3.912442922592163,148.89168623098666
3.9348134994506836,138.4368625013142
3.952875852584839,129.40713195488897
3.9757680892944336,116.47015333255052
3.9873886108398438,93.55571641108344
3.9880404472351074,55.550708497081025
4.02240252494812,-0.14030413736508018
4.035933017730713,-72.51765143361426
4.046061277389526,-156.46301484395903
4.085177183151245,-242.83984305365766
4.1035425662994385,-319.4508308353494
4.1264331340789795,-373.06516766925023
4.1447765827178955,-392.37176849766826
4.1623053550720215,-371.21176653294225
4.162933826446533,-311.107862889787
4.205076694488525,-222.1298846038831
4.205526828765869,-121.5319125867781
4.25159215927124,-30.25860385460847
4.252058744430542,31.868506236322876
4.265049934387207,50.98974657513002
4.303143501281738,22.72867463726494
4.3216423988342285,-46.552192632227744
4.336897373199463,-141.06033871517224
4.348426342010498,-239.08665890880815
4.386412143707275,-317.87262816839524
4.410724639892578,-358.73051657247737
4.429949998855591,-351.29418422814314
4.459538221359253,-295.94003478695316
4.482300043106079,-203.74111509728226
4.485034704208374,-93.81837536750726
4.512024164199829,11.377857872594124
4.528656244277954,91.63391486181163
4.55404257774353,133.75894064023828
4.573300361633301,134.12727848294244
4.593250036239624,98.26815790562108
4.593786716461182,37.8458733222903
4.606525897979736,-33.714194187957894
4.6361987590789795,-105.29162196947183
4.646512985229492,-170.42874153138237
4.68365740776062,-227.40040927715242
4.707583904266357,-277.42569211339804
4.726401329040527,-322.1839100715699
4.750530242919922,-361.937628186207
4.7641761302948,-395.10541181898515
4.764565944671631,-419.3321666410605
4.815896511077881,-433.34541086028173
4.816067934036255,-438.47160458775704
4.824188232421875,-438.7727247298223
4.872258186340332,-439.32404838288187
4.872512102127075,-442.9999038986273
4.910643577575684,-446.96094495108565
4.910847187042236,-440.5074714419722
4.93121337890625,-405.8157359585644
4.961292743682861,-322.2294631049689
4.981515407562256,-173.4148884373578
5.008299827575684,44.76121567584703
5.026125192642212,318.69679223334293
5.0434958934783936,616.7290709966047
5.055473566055298,895.269829077554
5.091370344161987,1110.0244890684608
5.091929912567139,1228.4685941533323
5.125387907028198,1238.8979110265307
5.136880397796631,1152.721827595674
5.1482484340667725,999.5297338105734
5.19521689414978,817.3149326551688
5.220972537994385,641.7668034606068
5.249636650085449,498.2466180138524
5.2518885135650635,398.3705563860832
5.273730993270874,341.0558824660322
5.29685378074646,316.4534692466192
5.325777769088745,310.8226315463557
5.349622488021851,310.8473957823975
5.349852085113525,306.5897396454613
5.377546787261963,292.82762442910087
5.404172897338867,268.8670581318206
5.433024168014526,237.16606520108004
5.433171033859253,201.33254618085257
5.456499814987183,164.1906005551385
5.485159635543823,126.55200188179438
5.512110233306885,87.07438590944021
5.512542247772217,43.22306593801153
5.541545867919922,-7.012823854988634
5.5658791065216064,-63.27845739718687
5.5681679248809814,-121.63031291412001
5.596118688583374,-174.56558678664078
5.62015438079834,-212.58165892298956
5.649387836456299,-227.01571375958764
5.651585340499878,-213.38930961462094
5.673004865646362,-174.16715928782952
5.7029383182525635,-119.8663155424174
5.727174520492554,-67.82838189249397
5.729837417602539,-38.614089166835875
5.758338451385498,-50.76775925150559
5.782894134521484,-115.41080661830966
5.812756776809692,-232.43134007421457
5.8149683475494385,-389.66139435010746
5.843003511428833,-565.4166738191878
5.867113828659058,-733.5705679640449
5.869534969329834,-869.5383683117852
5.897233724594116,-955.4752623975037
5.92887282371521,-983.5052148001545
5.953558921813965,-956.5013033550273
5.9537951946258545,-886.5249366577697
5.9844934940338135,-791.4535058704085
6.016743421554565,-690.6578186302753
6.018774747848511,-600.7978554954784
6.041451454162598,-532.7293137754888
6.071597576141357,-490.0937780498659
6.0963757038116455,-469.5921853736858
6.096537351608276,-462.50818870306426
6.1269097328186035,-456.8929297118704
6.152724742889404,-439.89304227818735
6.153402328491211,-399.9220263517502
6.183416366577148,-328.6726031403877
6.213528871536255,-223.13531701290907
6.215743064880371,-87.52353816544418
6.239175796508789,65.68059630755045
6.26971173286438,216.8369065252036
6.293503284454346,343.19699694714996
6.2937610149383545,425.119629093488
6.323014974594116,452.0791179329864
6.352322816848755,425.78503401981186
6.354347229003906,359.1062458149892
6.375459909439087,271.60384014067006
6.398282051086426,183.91335758711267
6.3990795612335205,113.26322792758326
6.449335098266602,71.36000785171281
6.449756383895874,64.4659806716513
6.449796438217163,94.43002124858978
6.501815557479858,159.18400102979973
6.502090930938721,251.95680220964798
6.537112474441528,359.8262464383663
6.5564093589782715,463.3289020799233
6.556794881820679,538.8019662601223
6.587467432022095,563.8286511016228
6.611814022064209,524.39574428827
6.6298956871032715,421.1987754875154
6.6303675174713135,272.49765555771097
6.685091733932495,111.93276812022206
6.685356378555298,-18.67850755137486
6.697640657424927,-79.84477791055832
6.750572204589844,-45.219039761352626
6.774588346481323,90.61880560034623
6.77476954460144,310.0128532283377
6.798226594924927,576.5840341123188
6.824180841445923,844.7800572644846
