Parametro,Valor
FC (LPM),83.10
PPI (s),0.722
AC (Unidades),2834.62
DC (Unidades),1.22
AI (Proxy),-0.659
RT (ms),0.3
ST/DT,0.00
Ratio b/a,16.13
Ratio c/a,-23.96
Ratio d/a,-5.42
Ratio e/a,4.07
