Parametro,Valor
FC (LPM),68.68
PPI (s),0.874
AC (Unidades),2425.66
DC (Unidades),2.95
AI (Proxy),-0.569
RT (ms),0.4
ST/DT,0.00
Ratio b/a,2.15
Ratio c/a,-0.95
Ratio d/a,1.71
Ratio e/a,-3.85
