Parametro,Valor
FC (LPM),77.88
PPI (s),0.770
AC (Unidades),3391.05
DC (Unidades),-0.21
AI (Proxy),-0.824
RT (ms),21.3
ST/DT,0.00
Ratio b/a,0.11
Ratio c/a,-0.53
Ratio d/a,-1.24
Ratio e/a,1.34
