Parametro,Valor
FC (LPM),69.92
PPI (s),0.858
AC (Unidades),3477.52
DC (Unidades),3.06
AI (Proxy),-1.477
RT (ms),218.0
ST/DT,0.03
Ratio b/a,-1.02
Ratio c/a,4.11
Ratio d/a,-6.88
Ratio e/a,10.36
