tiempo_s,valor_raw
0.0,-65457.0
0.00010442733764648438,-65414.0
0.00015497207641601562,-65416.0
0.014757394790649414,-65439.0
0.015293359756469727,-65459.0
0.015460014343261719,-65485.0
0.015541315078735352,-65524.0
0.015574932098388672,-65582.0
0.015605449676513672,-65658.0
0.015635251998901367,-65716.0
0.01566457748413086,-65740.0
0.01569366455078125,-65752.0
0.015722036361694336,-65736.0
0.01575016975402832,-65730.0
0.015778064727783203,-65738.0
0.015806198120117188,-65761.0
0.015834808349609375,-65776.0
0.01586294174194336,-65798.0
0.01589035987854004,-65834.0
0.01591777801513672,-65891.0
0.015945911407470703,-65952.0
0.015973567962646484,-65998.0
0.016001462936401367,-66033.0
0.01602911949157715,-66052.0
0.01605677604675293,-66068.0
0.01608443260192871,-66064.0
0.01611161231994629,-66008.0
0.016138792037963867,-65900.0
0.01616668701171875,-65750.0
0.01619434356689453,-65605.0
0.01622176170349121,-65491.0
0.01624917984008789,-65389.0
0.036711931228637695,-65277.0
0.03684520721435547,-65134.0
0.03908109664916992,-64951.0
0.03914499282836914,-64738.0
0.039168596267700195,-64300.0
0.03919076919555664,-62506.0
0.039212703704833984,-56914.0
0.05482649803161621,-44760.0
0.05495905876159668,-29357.0
0.054981231689453125,-20552.0
0.055002689361572266,-14942.0
0.0550236701965332,-11612.0
0.05504298210144043,-9439.0
0.05526542663574219,-7836.0
0.0553286075592041,-6342.0
0.05535292625427246,-5223.0
0.055375099182128906,-4333.0
0.05539727210998535,-3422.0
0.05541849136352539,-2515.0
0.05543971061706543,-1748.0
0.05546092987060547,-1180.0
0.055481672286987305,-828.0
0.055541276931762695,-633.0
0.05556464195251465,-538.0
0.05558657646179199,-490.0
0.05560755729675293,-467.0
0.05562877655029297,-458.0
0.05564999580383301,-455.0
0.05567121505737305,-455.0
0.05599546432495117,-453.0
0.05613398551940918,-453.0
0.05746769905090332,-452.0
0.057578325271606445,-451.0
0.057604074478149414,-451.0
0.05762767791748047,-452.0
0.07012128829956055,-452.0
0.07027220726013184,-450.0
0.07030105590820312,-452.0
0.07034015655517578,-453.0
0.07037472724914551,-456.0
0.07039332389831543,-461.0
0.07041335105895996,-463.0
0.07043266296386719,-469.0
0.0704505443572998,-477.0
0.07046914100646973,-481.0
0.07048702239990234,-487.0
0.07056260108947754,-494.0
0.0705866813659668,-501.0
0.07060623168945312,-506.0
0.07062745094299316,-515.0
0.0706472396850586,-529.0
0.07066726684570312,-542.0
0.07071447372436523,-552.0
0.07073640823364258,-565.0
0.07075691223144531,-577.0
0.07077765464782715,-587.0
0.07079887390136719,-580.0
0.07081985473632812,-557.0
0.07084155082702637,-546.0
0.0708615779876709,-545.0
0.07088255882263184,-546.0
0.07096171379089355,-543.0
0.07185649871826172,-539.0
0.072052001953125,-520.0
0.07208681106567383,-508.0
0.07210779190063477,-506.0
0.07218265533447266,-519.0
0.0722043514251709,-533.0
0.07222580909729004,-530.0
0.08221220970153809,-536.0
0.08242988586425781,-538.0
0.0824587345123291,-540.0
0.08248281478881836,-533.0
0.08253288269042969,-536.0
0.08255577087402344,-540.0
0.08257818222045898,-541.0
0.08260059356689453,-544.0
0.08262300491333008,-541.0
0.08264493942260742,-539.0
0.08266687393188477,-551.0
0.0826880931854248,-613.0
0.08270883560180664,-593.0
0.08273005485534668,-590.0
0.08275103569030762,-581.0
0.08277010917663574,-582.0
0.08278870582580566,-583.0
0.08280611038208008,-572.0
0.08283543586730957,-566.0
0.08285784721374512,-569.0
0.08287978172302246,-571.0
0.08320736885070801,-570.0
0.08341026306152344,-566.0
0.08355093002319336,-571.0
0.08358287811279297,-574.0
0.08360600471496582,-584.0
0.08362770080566406,-589.0
0.0836493968963623,-583.0
0.08367061614990234,-572.0
0.08369255065917969,-571.0
0.08371329307556152,-572.0
0.08373427391052246,-568.0
0.0837552547454834,-569.0
0.08377671241760254,-568.0
0.08379745483398438,-570.0
0.08381843566894531,-569.0
0.08383941650390625,-564.0
0.08385992050170898,-564.0
0.08388042449951172,-564.0
0.08390188217163086,-568.0
0.08392000198364258,-572.0
0.08395624160766602,-574.0
0.08397865295410156,-568.0
0.0839996337890625,-568.0
0.08402061462402344,-566.0
0.08418464660644531,-566.0
0.09846377372741699,-568.0
0.09886908531188965,-568.0
0.09891963005065918,-564.0
0.09894418716430664,-565.0
0.0989675521850586,-567.0
0.09899020195007324,-570.0
