Parametro,Valor
FC (LPM),77.70
PPI (s),0.772
AC (Unidades),1513.20
DC (Unidades),1.28
AI (Proxy),-1.077
RT (ms),38.7
ST/DT,0.00
Ratio b/a,0.33
Ratio c/a,11.70
Ratio d/a,-14.02
Ratio e/a,-8.82
