tiempo_relativo_s,valor_crudo
1.3249752521514893,-67980.0
1.334998607635498,-68056.0
1.3449811935424805,-68108.0
1.3548901081085205,-68127.0
1.3707749843597412,-68133.0
1.38057541847229,-68115.0
1.3851430416107178,-68082.0
1.394901990890503,-68043.0
1.4194715023040771,-68000.0
1.419996738433838,-67946.0
1.4269351959228516,-67883.0
1.4349653720855713,-67829.0
1.445105791091919,-67771.0
1.4553494453430176,-67718.0
1.471250295639038,-67687.0
1.4812204837799072,-67668.0
1.485029935836792,-67674.0
1.495091438293457,-67694.0
1.520158052444458,-67726.0
1.520803451538086,-67765.0
1.5300490856170654,-67818.0
1.5349712371826172,-67846.0
1.545100212097168,-67863.0
1.5707728862762451,-67887.0
1.5714571475982666,-67922.0
1.581934928894043,-67971.0
1.5864882469177246,-68038.0
1.5949251651763916,-68094.0
1.6157457828521729,-68160.0
1.6167891025543213,-68240.0
1.6250371932983398,-68349.0
1.6347095966339111,-68449.0
1.644836664199829,-68509.0
1.6661362648010254,-68517.0
1.6667017936706543,-68503.0
1.676621675491333,-68475.0
1.6844923496246338,-68451.0
1.6950047016143799,-68429.0
1.7149744033813477,-68396.0
1.7155821323394775,-68291.0
1.7244322299957275,-68168.0
1.7355732917785645,-68088.0
1.7456214427947998,-68040.0
1.7699055671691895,-68034.0
1.7704203128814697,-68060.0
1.7809123992919922,-68094.0
1.7859020233154297,-68163.0
1.7953171730041504,-68236.0
1.815331220626831,-68305.0
1.8242318630218506,-68340.0
1.8252677917480469,-68376.0
1.8355162143707275,-68384.0
1.8453850746154785,-68386.0
1.8676633834838867,-68374.0
1.8683280944824219,-68371.0
1.878370761871338,-68363.0
1.885174036026001,-68352.0
1.8952689170837402,-68332.0
1.916151523590088,-68317.0
1.9168157577514648,-68297.0
1.9266104698181152,-68288.0
1.9354033470153809,-68290.0
1.945410966873169,-68287.0
1.968001365661621,-68284.0
1.9685564041137695,-68292.0
1.9788131713867188,-68297.0
1.9853298664093018,-68305.0
1.9953513145446777,-68300.0
2.0172219276428223,-68309.0
2.0177319049835205,-68306.0
2.028205156326294,-68319.0
2.0354936122894287,-68318.0
2.045262336730957,-68326.0
2.055752992630005,-68325.0
2.0689332485198975,-68327.0
2.081803560256958,-68324.0
2.0853610038757324,-68314.0
2.0954151153564453,-68270.0
2.117887258529663,-68173.0
2.126142978668213,-67989.0
2.1266562938690186,-67790.0
2.1353251934051514,-67590.0
2.1451854705810547,-67453.0
2.155196189880371,-67366.0
2.168471097946167,-67331.0
2.1814262866973877,-67308.0
2.186016321182251,-67304.0
2.195127487182617,-67304.0
2.218316078186035,-67313.0
2.219052314758301,-67320.0
2.230083465576172,-67336.0
2.2353198528289795,-67347.0
2.245408535003662,-67362.0
2.2550878524780273,-67366.0
2.267646551132202,-67384.0
2.278169870376587,-67387.0
2.286241054534912,-67406.0
2.295933246612549,-67411.0
2.3168435096740723,-67424.0
2.3173446655273438,-67427.0
2.3289794921875,-67436.0
2.3361191749572754,-67433.0
2.3460569381713867,-67451.0
2.3574118614196777,-67453.0
2.3693947792053223,-67463.0
2.382382392883301,-67465.0
2.3868210315704346,-67481.0
2.395846128463745,-67480.0
2.416102886199951,-67492.0
2.4167518615722656,-67484.0
2.426032304763794,-67486.0
2.4362921714782715,-67482.0
2.4458529949188232,-67489.0
2.4672751426696777,-67480.0
2.4678139686584473,-67487.0
2.478050947189331,-67478.0
2.485882043838501,-67494.0
2.4959559440612793,-67502.0
2.5203866958618164,-67530.0
2.5208914279937744,-67545.0
2.5327682495117188,-67580.0
2.536435604095459,-67608.0
2.545842170715332,-67652.0
2.567826747894287,-67697.0
2.5684731006622314,-67759.0
2.5786633491516113,-67809.0
2.58589506149292,-67871.0
2.5957837104797363,-67909.0
2.6157710552215576,-67947.0
2.616415023803711,-67962.0
2.629380702972412,-67987.0
2.6356258392333984,-67988.0
2.6456210613250732,-67991.0
2.668091297149658,-67985.0
2.6686129570007324,-67987.0
2.680342197418213,-67973.0
2.688263177871704,-67971.0
2.695460796356201,-67952.0
2.7165327072143555,-67958.0
2.717130661010742,-67961.0
2.729140281677246,-67986.0
2.7352607250213623,-67998.0
2.745378017425537,-68029.0
2.7674267292022705,-68043.0
2.768019199371338,-68072.0
2.779388427734375,-68077.0
2.785963773727417,-68110.0
2.7953667640686035,-68123.0
2.816781997680664,-68154.0
2.8172457218170166,-68158.0
2.829451322555542,-68146.0
2.836338520050049,-68063.0
2.84639573097229,-67934.0
2.8676395416259766,-67752.0
2.8682308197021484,-67605.0
2.879171133041382,-67468.0
2.886378526687622,-67394.0
2.8966541290283203,-67327.0
2.9168858528137207,-67300.0
2.9173696041107178,-67263.0
2.930375576019287,-67262.0
2.9363629817962646,-67255.0
2.946467399597168,-67280.0
2.9679861068725586,-67287.0
2.9685165882110596,-67313.0
2.9802536964416504,-67317.0
2.9872379302978516,-67341.0
2.9964749813079834,-67345.0
3.01706862449646,-67369.0
3.017540454864502,-67372.0
3.0291805267333984,-67388.0
3.036386251449585,-67393.0
3.0464391708374023,-67412.0
3.068192958831787,-67428.0
3.068817138671875,-67449.0
3.080615758895874,-67473.0
3.0869054794311523,-67512.0
3.0964181423187256,-67528.0
3.11879563331604,-67559.0
3.119466781616211,-67562.0
3.1304821968078613,-67580.0
3.1361420154571533,-67581.0
3.1463916301727295,-67586.0
3.1690635681152344,-67570.0
3.1695663928985596,-67585.0
3.18147873878479,-67580.0
3.1863913536071777,-67594.0
3.1963396072387695,-67576.0
3.218446731567383,-67571.0
3.229004144668579,-67540.0
3.230199098587036,-67538.0
3.236248731613159,-67505.0
3.24639892578125,-67492.0
3.2692534923553467,-67462.0
3.269906520843506,-67485.0
3.2825047969818115,-67495.0
3.2864344120025635,-67534.0
3.2961769104003906,-67549.0
3.3186891078948975,-67592.0
3.3194262981414795,-67626.0
3.3297135829925537,-67704.0
3.3356544971466064,-67764.0
3.3457202911376953,-67838.0
3.3693628311157227,-67910.0
3.3699538707733154,-68007.0
3.3830459117889404,-68085.0
3.387019157409668,-68160.0
3.3969388008117676,-68211.0
3.41888165473938,-68258.0
3.4198992252349854,-68277.0
3.429647207260132,-68309.0
3.437044382095337,-68319.0
3.446664810180664,-68340.0
3.46905255317688,-68346.0
3.4695181846618652,-68367.0
3.4823966026306152,-68371.0
3.4869236946105957,-68386.0
3.4965574741363525,-68387.0
3.518824815750122,-68397.0
