tiempo_relativo_s,primera_derivada,segunda_derivada
0.0022497177124023438,68.35000000000002,-377.3437500000014
0.003844022750854492,65.33125000000001,-751.5625000000039
0.005694389343261719,56.32499999999996,-1306.6406250000048
0.007008790969848633,44.42499999999993,-1482.4218749999939
0.008168935775756836,32.60625000000006,-1585.15624999999
0.009885072708129883,19.062500000000092,-1895.3125000000027
0.011087656021118164,2.2812500000000124,-2194.1406250000073
0.012280464172363281,-16.043750000000024,-2247.2656250000014
0.013141870498657227,-33.67500000000001,-2163.2812500000027
0.013936519622802734,-50.65625000000007,-2205.0781250000027
0.014683008193969727,-68.95625000000005,-2386.718749999992
0.015300750732421875,-88.84374999999994,-2315.6249999999945
0.016317367553710938,-106.00624999999997,-1526.9531250000039
0.017148494720458984,-113.275,-21.87500000000142
0.017940998077392578,-106.35624999999999,1606.2499999999993
0.018606901168823242,-87.57500000000002,2671.8749999999973
0.01907634735107422,-63.60625000000003,2894.5312500000023
0.019482851028442383,-41.26249999999998,2444.5312500000014
0.019892215728759766,-24.49375000000001,1743.749999999999
0.020292043685913086,-13.362499999999999,1120.7031250000005
0.020717382431030273,-6.562499999999999,623.4375000000008
0.02111530303955078,-3.3874999999999877,248.43750000000043
0.02151322364807129,-2.5874999999999924,-68.75000000000108
0.021921157836914062,-4.487500000000005,-654.296875
0.022321462631225586,-13.056249999999991,-1560.546874999999
0.022733211517333984,-29.45624999999999,-2115.625000000001
0.023134946823120117,-46.90625000000001,-1684.3750000000014
0.02353358268737793,-56.406250000000014,-535.9374999999993
0.02394247055053711,-55.481249999999996,383.5937500000011
0.024343490600585938,-50.26875,377.73437500000017
0.024752140045166016,-49.43749999999999,-313.6718749999994
0.02515125274658203,-55.28749999999999,-739.4531250000002
0.025550127029418945,-61.26875,-300.0000000000007
0.025964975357055664,-60.0875,500.7812499999997
0.026370763778686523,-53.25625,621.4843750000001
0.02678513526916504,-50.14375,-298.0468749999994
0.02719283103942871,-58.02499999999999,-1532.0312500000002
0.02791142463684082,-74.65625,-2069.140625
0.028371334075927734,-91.13125,-1589.0624999999989
0.028809547424316406,-100.08124999999998,-476.9531250000023
0.029233217239379883,-98.76250000000003,726.5624999999982
0.029748916625976562,-88.45625000000001,1520.7031250000016
0.030169963836669922,-74.43125,1589.062500000002
0.03058004379272461,-63.03124999999998,996.8750000000015
0.03099513053894043,-58.48124999999998,4.296874999996536
0.03140425682067871,-62.962500000000034,-1098.828125000003
0.03199338912963867,-76.06250000000003,-1917.5781249999993
0.03241539001464844,-93.64375000000003,-2072.2656249999927
0.03283524513244629,-109.21874999999991,-1559.7656249999936
0.03325080871582031,-118.59999999999992,-882.0312500000051
0.03366971015930176,-123.33125,-491.7968750000057
0.03408360481262207,-126.46875000000001,-204.29687500000247
0.034497976303100586,-126.60000000000004,495.31249999999716
0.03491806983947754,-118.54375000000006,1760.5468750000045
0.03533053398132324,-98.43124999999996,3079.687500000011
0.03574943542480469,-69.26874999999988,3566.015625000002
0.03615856170654297,-41.374999999999936,2823.437499999991
0.036569833755493164,-24.093750000000025,1489.453124999998
0.03699445724487305,-17.543749999999967,581.6406250000044
0.037409067153930664,-14.787499999999953,420.31249999999176
0.037831783294677734,-10.8187500000001,560.1562499999851
0.038248538970947266,-5.825000000000191,627.343750000009
0.038674354553222656,-0.7812499999999556,753.1250000000211
0.03908991813659668,6.225000000000147,1195.7031249999889
0.03952479362487793,18.349999999999866,1802.3437499999902
0.039945125579833984,35.06249999999999,2024.6093750000136
0.04036116600036621,50.743750000000084,1543.3593749999975
0.04083108901977539,59.75624999999995,808.593749999996
0.041248321533203125,63.68125000000002,723.4375000000001
0.04167032241821289,71.33124999999995,1422.2656249999952
0.04208803176879883,86.43749999999994,1830.8593750000073
0.04250335693359375,100.62500000000007,1112.1093750000027
0.04292440414428711,104.23124999999999,-339.0625000000078
0.043340444564819336,95.19999999999995,-1762.8906249999989
0.0437624454498291,76.025,-2719.1406249999977
0.044175148010253906,51.69374999999998,-2879.687499999998
0.04462575912475586,29.95000000000003,-2184.7656249999945
0.04519033432006836,16.73750000000007,-1209.7656250000045
0.045676469802856445,10.593749999999957,-683.9843750000088
0.046088457107543945,5.793749999999931,-568.7499999999928
0.046494483947753906,1.4937500000000714,-205.85937499999207
0.046907901763916016,2.5000000000000577,648.4374999999944
0.04731583595275879,11.868749999999983,1584.7656249999982
0.0477292537689209,27.856250000000028,2140.625
0.04814028739929199,46.118749999999984,2141.7968749999973
0.048636436462402344,62.124999999999986,1667.578124999999
0.04920697212219238,72.79999999999997,60641.01562499998
0.04964184761047363,1032.3812499999997,56560.54687500001
0.0660548210144043,977.7687500000001,-68513.28124999997
0.0665273666381836,-63.83124999999995,-68499.609375
0.07331275939941406,-118.22500000000002,-5511.328125000002
0.09102463722229004,-152.0125,-2884.7656249999964
0.09363079071044922,-164.38124999999997,-839.4531250000003
0.11502289772033691,-165.44375,65.23437499999751
0.11544656753540039,-163.3375,406.64062499999966
0.12339568138122559,-158.9375,803.5156249999993
0.13335347175598145,-150.48125000000002,1342.5781249999993
0.1434314250946045,-137.45625,1866.7968750000002
0.16633200645446777,-120.61250000000001,2273.0468750000014
0.16701769828796387,-101.08749999999999,2488.28125
0.17354297637939453,-80.80000000000001,2317.1874999999973
0.18346548080444336,-64.01250000000003,1558.984375000001
0.1937568187713623,-55.856249999999996,399.60937500000205
0.21430563926696777,-57.61875,-496.0937499999991
0.21509003639221191,-63.79374999999998,-487.49999999999847
0.22344350814819336,-65.41874999999997,310.15624999999903
