tiempo_s,ppg_suavizada
7.151834726333618,-67506.47421161213
7.152379035949707,-67644.28829944001
7.152934789657593,-67739.15408193337
7.174158096313477,-67794.68872871254
7.174666166305542,-67814.50940939784
7.180122375488281,-67802.23329360958
7.206066131591797,-67761.47755096809
7.206594705581665,-67695.85935109366
7.208649635314941,-67608.99586360664
7.226287126541138,-67504.50425812734
7.232675313949585,-67386.00170427607
7.258043527603149,-67257.10537167315
7.2585225105285645,-67121.4324299389
7.259381294250488,-66932.72802197868
7.279597520828247,-66813.8276098908
7.280242919921875,-66697.88324175893
7.309135913848877,-66588.90144230836
7.3098108768463135,-66488.96978022045
7.310545206069946,-66401.4615384622
7.330242395401001,-66329.25858516549
7.330796003341675,-66275.73282967097
7.360071659088135,-66241.99896978089
7.360608816146851,-66228.85439560504
7.361357927322388,-66235.60267857208
7.380329370498657,-66258.67273351715
7.380832195281982,-66289.60645604462
7.41167950630188,-66327.44265109955
7.412363529205322,-66370.85851648418
7.413141489028931,-66416.50000000065
7.43320369720459,-66463.95776098965
7.438290119171143,-66513.18440934132
7.439157724380493,-66564.57864011056
7.462839603424072,-66616.34134615451
7.463371992111206,-66668.36813186879
7.482382535934448,-66719.710851649
7.484246730804443,-66769.98489011056
7.491468667984009,-66817.66929945121
7.523013591766357,-66861.71565934132
7.523834466934204,-66902.34375000067
7.5248541831970215,-66939.50343406662
7.546509504318237,-66971.70638736329
7.547508239746094,-67000.49278846222
7.5523552894592285,-67024.72012362706
7.580885410308838,-67045.33997252813
7.582434415817261,-67063.81524725341
7.607415676116943,-67080.61572802265
7.608304023742676,-67096.44333791274
7.608982801437378,-67112.01098901166
7.61385178565979,-67128.12980769298
7.645761728286743,-67144.99107142922
7.6464903354644775,-67161.73214285781
7.6472625732421875,-67180.23729395671
7.674227714538574,-67199.10061813254
7.674983978271484,-67218.97870879188
7.67897891998291,-67239.11538461603
7.680847644805908,-67259.31112637429
7.706128358840942,-67278.88255494574
7.706673622131348,-67298.59134615453
7.733340501785278,-67318.04807692376
7.73850154876709,-67337.19608516552
7.740246772766113,-67355.75103022048
7.741185188293457,-67373.36881868199
7.7720723152160645,-67390.65659340726
7.772770404815674,-67408.04842033033
7.7735595703125,-67424.46119505561
7.799798965454102,-67439.9821428578
7.805387496948242,-67454.98454670396
7.806255578994751,-67468.30872252815
7.8371710777282715,-67481.43956044022
7.837893486022949,-67494.66483516552
7.838522672653198,-67508.01339285781
7.839194059371948,-67521.53949175893
7.87210488319397,-67536.13015109957
7.873118162155151,-67552.08516483584
7.9036865234375,-67568.23592033036
7.904355525970459,-67586.28434066
7.905107021331787,-67607.82211538528
7.905738115310669,-67632.89457417648
7.933722019195557,-67657.68784340727
7.934606552124023,-67678.13152472595
7.935128927230835,-67690.67445055011
7.939988613128662,-67691.73729395673
7.965893745422363,-67676.41105769298
7.966453790664673,-67644.53159340727
7.968576669692993,-67595.04223901166
7.988521099090576,-67529.67170329737
7.989087343215942,-67449.17513736332
8.020072221755981,-67356.12053571496
8.020649433135986,-67251.49759615451
8.021138429641724,-67137.7232142864
8.043467998504639,-67017.79258241826
8.043960094451904,-66894.27678571497
8.049834966659546,-66769.17582417648
8.074803829193115,-66646.90625000068
8.075320482254028,-66529.2534340666
8.078015327453613,-66418.62087912153
8.096851587295532,-66318.48832417648
8.097368240356445,-66232.37087912156
8.128506422042847,-66161.94883241825
8.129058361053467,-66109.10576923145
8.129557609558105,-66076.12053571494
8.151908874511719,-66062.80940934132
8.152409791946411,-66065.56524725341
8.157392501831055,-66079.22596153912
8.181585311889648,-66100.60096153912
8.182070016860962,-66127.21943681384
8.206059694290161,-66155.75583791273
8.206543207168579,-66184.81043956109
8.207012176513672,-66215.95913461605
8.23792052268982,-66249.1912774732
8.23854947090149,-66283.5710851655
8.239351034164429,-66318.86950549517
8.260037660598755,-66354.20329670394
8.260498285293579,-66388.44677197868
8.268540143966675,-66422.34340659407
8.295276641845703,-66454.2637362644
8.295798063278198,-66483.38598901164
8.297456741333008,-66510.26270604461
8.318063259124756,-66534.86092033035
8.318564653396606,-66556.14938186879
8.358034610748291,-66574.9570741765
8.358857154846191,-66593.27094780287
8.35951542854309,-66609.22184066002
8.360496997833252,-66624.48935439627
8.387378215789795,-66638.87774725341
8.38808536529541,-66654.40796703365
8.388760328292847,-66670.48420329738
8.426906824111938,-66687.68475274791
8.42754864692688,-66706.1332417589
8.428213357925415,-66725.50995879187
8.42888331413269,-66745.18200549517
8.456986665725708,-66766.29498626442
8.46191930770874,-66787.77369505561
8.46299409866333,-66810.05425824244
8.493625164031982,-66833.39182692376
8.494361400604248,-66856.66037087979
8.495042085647583,-66879.84237637429
8.523612976074219,-66902.57314560507
8.524285078048706,-66925.26579670396
8.525057792663574,-66948.35782967099
8.529872417449951,-66970.39285714352
8.562860488891602,-66991.8169642864
8.563501596450806,-67013.11916208858
8.564327478408813,-67034.09752747322
8.568018674850464,-67053.75995879187
8.593703508377075,-67072.60508241825
8.594501256942749,-67090.25377747319
8.602521896362305,-67106.52266483584
8.632489442825317,-67122.40041208857
8.63326120376587,-67137.67822802266
8.633870363235474,-67153.28434066
8.657430410385132,-67168.22458791276
8.658064126968384,-67183.47664835233
8.661571741104126,-67198.97493131935
8.689229488372803,-67214.9563873633
8.689719676971436,-67232.5408653853
8.690188884735107,-67252.76820055013
8.720414876937866,-67273.38701923145
8.721155881881714,-67295.9886675831
8.721941232681274,-67319.94814560506
8.727908372879028,-67342.92788461606
8.753905534744263,-67362.32177197869
8.754414796829224,-67372.9148351655
