tiempo_s,primera_derivada,segunda_derivada
7.151834726333618,-17226.76097848489,335533.635425918
7.152379035949707,-14542.491895077546,489170.88430948753
7.152934789657593,-9400.02682953309,614548.9955342782
7.174158096313477,-4709.707966529095,558030.7202167773
7.174666166305542,-471.5353060646521,501512.4448992765
7.180122375488281,3314.491151859329,444994.1695818325
7.206066131591797,6648.371407244667,388475.8942644453
7.206594705581665,9530.105460090454,331957.61894688755
7.208649635314941,11959.693310394869,275439.3436293867
7.226287126541138,13937.134958160641,218921.06831199952
7.232675313949585,15462.430403386861,162402.79299455552
7.258043527603149,16535.57964607353,300697.12203237484
7.2585225105285645,20273.58435590486,168107.6004333022
7.259381294250488,19225.301253006364,-349736.59951066336
7.279597520828247,14677.798763734245,-322963.4861939985
7.280242919921875,14057.885473902388,-101294.21359869184
7.309135913848877,13057.091346155175,-146430.71771985205
7.3098108768463135,11714.993990384755,-192196.3534512656
7.310545206069946,9981.949690934925,-241059.35568331915
7.330242395401001,7858.044299451649,-283013.9830873577
7.330796003341675,5453.725961537202,-308008.88564567687
7.360071659088135,2929.902129120819,-315872.36006163264
7.360608816146851,399.76820055107964,-299596.76553920645
7.361357927322388,-1863.646119506484,-235937.76828658974
7.380329370498657,-3375.2360920343563,-152154.60808713033
7.380832195281982,-4298.119848900569,-106438.60533986072
7.41167950630188,-5078.253777472128,-79247.77858863762
7.412363529205322,-5566.084306318771,-46278.06275749435
7.413141489028931,-5818.702781592037,-29793.204842064824
7.43320369720459,-6042.7755837918085,-29381.385216538547
7.438290119171143,-6288.804945056654,-25283.31043953358
7.439157724380493,-6447.308550824346,-12377.393114547885
7.462839603424072,-6486.84323488942,-830.346411305527
7.463371992111206,-6460.594093405234,8487.240298677534
7.482382535934448,-6351.04739011058,21136.944110423883
7.484246730804443,-6122.402987638452,38617.14457423204
7.491468667984009,-5733.173076922867,51890.61426858643
7.523013591766357,-5292.153159341069,54464.82228700233
7.523834466934204,-4861.73592033083,59811.770261092075
7.5248541831970215,-4335.164835163596,65618.82941286967
7.546509504318237,-3811.834649724915,63862.89491734942
7.547508239746094,-3313.358516486005,63055.352850312825
7.5523552894592285,-2802.9490041199097,54369.580614945786
7.580885410308838,-2443.4452266468725,37388.39285705353
7.582434415817261,-2204.734718407053,25261.847527417558
7.607415676116943,-2039.2556662081915,15158.181662116021
7.608304023742676,-1962.2038118131968,3678.2065589591184
7.608982801437378,-1980.4043612648456,-6190.708705275938
7.61385178565979,-2061.255151097612,-7483.84915857514
7.645761728286743,-2100.145947802048,-8852.109804422525
7.6464903354644775,-2202.888907968372,-14711.484804251995
7.6472625732421875,-2335.52970467008,-13653.094951848743
7.674227714538574,-2421.338427197952,-10337.075034271948
7.674983978271484,-2500.922905218431,-6214.854481413568
7.67897891998291,-2520.776098900569,967.1724757254196
7.680847644805908,-2485.4481456068243,4110.147664732722
7.706128358840942,-2455.0137362648456,2350.188873776915
7.706673622131348,-2447.8451236263936,2638.5967548776534
7.733340501785278,-2412.796188186803,5713.15891136237
7.73850154876709,-2356.4345810445957,9500.021462940822
7.740246772766113,-2260.79584477975,10927.305116922525
7.741185188293457,-2181.5976991738353,5832.546359897606
7.7720723152160645,-2167.4751030213883,4300.63100947109
7.772770404815674,-2112.787603022298,10726.090315927195
7.7735595703125,-1995.8576579665532,12817.382812556843
7.799798965454102,-1907.7094780213883,14090.40178560872
7.805387496948242,-1770.4112293968137,15891.94496904156
7.806255578994751,-1653.4383585167234,7697.136847582442
7.8371710777282715,-1647.2570398354947,-464.13547391921384
7.837893486022949,-1660.8645260994308,-2025.562328299202
7.838522672653198,-1679.6660370882819,-6027.054000639964
7.839194059371948,-1757.2973901096702,-14339.908138651936
7.87210488319397,-1909.1045673067129,-15582.074175938487
7.873118162155151,-2006.610576924686,-14271.495106470411
7.9036865234375,-2137.4484890102394,-29220.413375469434
7.904355525970459,-2474.137190932197,-48480.69411059441
7.905107021331787,-2913.13959477975,-40154.42565264493
7.905738115310669,-3116.608001374516,5364.386589860715
7.933722019195557,-2827.3094093419786,65934.0659341865
7.934606552124023,-2061.662946427532,123559.30202613762
7.935128927230835,-850.3605769237765,184570.31249988632
7.939988613128662,891.462053570649,237544.80382905283
7.965893745422363,2950.356284341069,262130.56962575365
7.966453790664673,5085.551167582707,264274.177970492
7.968576669692993,7178.743131868941,251946.41783991756
7.988521099090576,9116.693853021388,229262.80262697674
7.989087343215942,10846.94797390057,202384.52953304886
8.020072221755981,12354.84632555017,175180.2884615472
8.020649433135986,13649.832589285325,140732.31456035274
8.021138429641724,14606.563358515814,97848.07477677759
8.043467998504639,15215.401785713766,58249.001974729705
8.043960094451904,15538.54739011149,15328.543526834437
8.049834966659546,15460.658482143117,-33962.37551527292
8.074803829193115,14995.149381867122,-74551.42513725832
8.075320482254028,14267.835679946984,-113895.6258583903
8.078015327453613,13172.819368132878,-164200.6674968002
8.096851587295532,11640.624999998181,-211818.8208277161
8.097368240356445,9783.71823488942,-246034.7269916383
8.128506422042847,7704.069368131968,-276215.60568331915
8.129058361053467,5364.268543956314,-300659.17968744313
8.129557609558105,2893.5224931328776,-294035.1884444112
8.151908874511719,659.7055288457341,-244972.31284345844
8.152409791946411,-1026.0345123624575,-178089.85448141355
8.157392501831055,-2189.732142856883,-123347.3557692264
8.181585311889648,-2999.59220467008,-78590.47690584476
8.182070016860962,-3447.179773350399,-37490.341689533576
8.206059694290161,-3599.437671702617,-19720.391912926516
8.206543207168579,-3762.7060439572233,-26522.793612798523
8.207012176513672,-4023.8023695073935,-28940.054086490363
