Parametro,Valor
FC (LPM),90.16
PPI (s),0.665
AC (Unidades),2166.00
DC (Unidades),-66771.70
AI (Proxy),1.022
RT (ms),154.5
ST/DT,0.06
Ratio b/a,0.99
Ratio c/a,0.99
Ratio d/a,0.99
Ratio e/a,1.00
