latido,onset_idx,onset_time,onset_amp,sys_idx,sys_time,sys_amp
1,22,6.232909440994263,-388.3626922516295,40,6.404747247695923,398.9236637274656
2,102,7.029598951339722,-373.3221212792883,120,7.217056035995483,400.07578148953985
3,181,7.795043230056763,-376.5061119210532,198,7.998121023178101,500.05440169973895
4,260,8.622973680496216,-476.07252132002526,278,8.794807195663452,548.7635276253475
5,339,9.404040575027466,-538.2913831132697,357,9.591496706008911,512.300523705957
6,419,10.231969118118286,-518.0188395893755,437,10.37256145477295,531.6970507998724
7,497,10.981792449951172,-537.1679391233523,515,11.15362787246704,474.00153662861226
8,571,11.73161768913269,-502.9482050043502,588,11.88783073425293,403.93034032999174
9,647,12.481441259384155,-491.9452573198249,665,12.66889715194702,515.975915438843
10,724,13.262507915496826,-638.2997322632015,743,13.44996452331543,513.7818414735927
11,802,14.027954578399658,-487.9803957145892,819,14.215413331985474,422.5741742719702
12,877,14.824640989303589,-418.401165371728,894,14.980854272842407,461.24783343970057
13,955,15.574464559555054,-485.48640758213975,972,15.761921167373655,483.91162818849716
14,1037,16.402395009994507,-489.37897126389856,1054,16.574229955673218,509.2805621793563
15,1122,17.261568307876587,-566.6237629605741,1139,17.417782068252563,458.09485529643746
16,1206,18.08949899673462,-487.90873430019496,1222,18.23009037971497,455.63898754226
17,1286,18.90180969238281,-549.7341335570932,1303,19.05802321434021,574.1305773541094
18,1370,19.72973895072937,-637.2587916253777,1387,19.90157389640808,496.5977951300379
19,1453,20.57329034805298,-594.9090912128092,1470,20.72950434684753,515.1834496358662
20,1536,21.416842222213745,-626.2629806209276,1552,21.55743980407715,486.9125048425551
21,1611,22.182288885116577,-623.9230215474832,1629,22.32287979125977,499.24516153744366
22,1688,22.947734355926517,-712.0286084980663,1705,23.103946208953857,513.3568380074261
23,1764,23.697556734085083,-674.5772895761751,1781,23.85377073287964,487.95884952326514
24,1840,24.44738221168518,-620.8308940499652,1857,24.603593826293945,507.9839700772074
25,1914,25.19720482826233,-571.7891860241455,1931,25.353418350219727,475.2631398281781
26,1987,25.884544610977173,-609.8960057744112,2003,26.056377172470093,491.68625093374015
27,2061,26.649988412857056,-585.4140961642134,2078,26.82182288169861,421.9251119935945
28,2139,27.446685075759888,-592.8725332811084,2157,27.60289072990417,475.7731158115604
29,2220,28.243364334106445,-587.4131787020218,2237,28.399582862854004,440.94912339284235
30,2297,29.02443099021912,-470.90449768304217,2314,29.180644035339355,485.5521815010172
31,2376,29.805497407913208,-544.5196332231061,2393,29.992956161499023,521.3583928181088
32,2458,30.61780595779419,-556.6333194004841,2474,30.78964066505432,500.936900103322
33,2540,31.430116415023804,-537.5268874873733,2557,31.61757183074951,506.9495599377872
34,2619,32.258052110672,-556.3447045436004,2635,32.41425943374634,531.1630590590153
35,2697,33.007869720458984,-609.9640215105813,2713,33.17970538139343,550.3654928719844
36,2776,33.83580446243286,-600.5107892591597,2792,33.99201464653015,538.184280293696
37,2856,34.630939960479736,-625.946079388408,2872,34.755911350250244,546.0930164338029
38,2933,35.39638614654541,-542.5995759134247,2949,35.55261039733887,507.802933445556
39,3008,36.13058829307556,-586.1433540596087,3024,36.30242228507996,539.5566581076522
40,3084,36.88041138648987,-566.3124755889501,3101,37.083489179611206,482.37353648698837
41,3163,37.6927227973938,-522.3408598024228,3179,37.86455535888672,494.3777179797345
42,3241,38.48940896987915,-493.3507739926395,3257,38.64562153816223,499.9876957285199
43,3315,39.20799112319946,-467.4674437927588,3331,39.37982439994812,472.22599935331834
44,3391,39.95781397819519,-467.1028785975513,3409,40.1765124797821,458.375208100595
45,3472,40.80136513710022,-575.7855167434259,3489,40.95757937431336,414.9569166391389
46,3554,41.61369013786316,-512.7092341839465,3570,41.75426816940308,496.32328813143437
47,3631,42.37911987304688,-529.2767595194772,3648,42.56657576560974,492.55154784507187
48,3713,43.20705223083496,-561.6876430120034,3728,43.36326813697815,461.9671723746998
