tiempo_relativo_s,valor_filtrado
0.0022497177124023438,7.8868
0.003844022750854492,8.4336
0.005694389343261719,8.9321
0.007008790969848633,9.3348
0.008168935775756836,9.6429
0.009885072708129883,9.8565
0.011087656021118164,9.9479
0.012280464172363281,9.893
0.013141870498657227,9.6912
0.013936519622802734,9.3542
0.014683008193969727,8.8807
0.015300750732421875,8.2509
0.016317367553710938,7.4592
0.017148494720458984,6.5548
0.017940998077392578,5.6468
0.018606901168823242,4.8531
0.01907634735107422,4.2456
0.019482851028442383,3.8354
0.019892215728759766,3.5854
0.020292043685913086,3.4435
0.020717382431030273,3.3716
0.02111530303955078,3.3385
0.02151322364807129,3.3174
0.021921157836914062,3.2971
0.022321462631225586,3.2456
0.022733211517333984,3.0882
0.023134946823120117,2.7743
0.02353358268737793,2.3377
0.02394247055053711,1.8718
0.024343490600585938,1.45
0.024752140045166016,1.0675
0.02515125274658203,0.659
0.025550127029418945,0.1829
0.025964975357055664,-0.3213
0.026370763778686523,-0.7785
0.02678513526916504,-1.1734
0.02719283103942871,-1.5808
0.02791142463684082,-2.1018
0.028371334075927734,-2.7753
0.028809547424316406,-3.5599
0.029233217239379883,-4.3766
0.029748916625976562,-5.1401
0.030169963836669922,-5.7919
0.03058004379272461,-6.331
0.03099513053894043,-6.8004
0.03140425682067871,-7.2667
0.03199338912963867,-7.8078
0.03241539001464844,-8.4837
0.03283524513244629,-9.3061
0.03325080871582031,-10.2312
0.03366971015930176,-11.2037
0.03408360481262207,-12.2045
0.034497976303100586,-13.2272
0.03491806983947754,-14.2301
0.03533053398132324,-15.1239
0.03574943542480469,-15.805
0.03615856170654297,-16.2322
0.036569833755493164,-16.467
0.03699445724487305,-16.6177
0.037409067153930664,-16.7477
0.037831783294677734,-16.8543
0.038248538970947266,-16.9208
0.038674354553222656,-16.9475
0.03908991813659668,-16.9333
0.03952479362487793,-16.8479
0.039945125579833984,-16.6397
0.04036116600036621,-16.2869
0.04083108901977539,-15.8278
0.041248321533203125,-15.3308
0.04167032241821289,-14.8089
0.04208803176879883,-14.1895
0.04250335693359375,-13.4259
0.04292440414428711,-12.5795
0.043340444564819336,-11.7582
0.0437624454498291,-11.0563
0.044175148010253906,-10.5418
0.04462575912475586,-10.2292
0.04519033432006836,-10.0626
0.045676469802856445,-9.9614
0.046088457107543945,-9.8931
0.046494483947753906,-9.8687
0.046907901763916016,-9.8692
0.04731583595275879,-9.8287
0.0477292537689209,-9.6793
0.04814028739929199,-9.383
0.048636436462402344,-8.9414
0.04920697212219238,-8.389
0.04964184761047363,-7.7766
0.0660548210144043,8.1291
0.0665273666381836,7.8677
0.07331275939941406,7.1078
0.09102463722229004,5.9761
0.09363079071044922,4.6756
0.11502289772033691,3.346
0.11544656753540039,2.0285
0.12339568138122559,0.7326
0.13335347175598145,-0.5145
0.1434314250946045,-1.6751
0.16633200645446777,-2.7138
0.16701769828796387,-3.6049
0.17354297637939453,-4.3312
0.18346548080444336,-4.8977
0.1937568187713623,-5.3554
0.21430563926696777,-5.7914
0.21509003639221191,-6.2773
0.22344350814819336,-6.8121
0.23340511322021484,-7.324
0.24350523948669434,-7.7534
0.26254916191101074,-8.1029
0.26822686195373535,-8.3992
0.2734262943267822,-8.6669
0.28374361991882324,-8.9238
0.29340291023254395,-9.1564
0.3157792091369629,-9.3432
0.31671977043151855,-9.5066
0.32491064071655273,-9.7068
0.33410215377807617,-9.978
0.343458890914917,-10.286
0.3668670654296875,-10.5711
0.3673524856567383,-10.8049
0.373532772064209,-10.9975
0.38340210914611816,-11.1835
0.3936574459075928,-11.3889
0.41373419761657715,-11.5942
0.4142265319824219,-11.7377
0.4236795902252197,-11.7557
0.43351101875305176,-11.6295
0.443587064743042,-11.4059
0.46286654472351074,-11.1641
0.4633646011352539,-10.9565
0.47354793548583984,-10.7839
0.4835836887359619,-10.6177
0.49395322799682617,-10.4346
0.5172932147979736,-10.2256
0.5184469223022461,-9.9882
0.5257229804992676,-9.7276
0.5349841117858887,-9.4367
0.5431673526763916,-9.0631
0.5615508556365967,-8.5428
0.5632901191711426,-7.8622
0.5730578899383545,-7.0757
0.5831506252288818,-6.2885
0.5933799743652344,-5.6123
0.6191327571868896,-5.1224
0.627655029296875,-4.8385
0.6283457279205322,-4.7186
0.6352591514587402,-4.6925
0.6441411972045898,-4.7143
0.665095329284668,-4.7696
0.6662862300872803,-4.8412
0.6741642951965332,-4.8708
0.6839370727539062,-4.7611
0.6941173076629639,-4.4399
0.7141449451446533,-3.9134
0.7147550582885742,-3.2436
0.7239296436309814,-2.4938
0.7338001728057861,-1.7128
0.7440586090087891,-0.935
0.7638213634490967,-0.1731
0.7642536163330078,0.5688
0.7741856575012207,1.2634
0.7839324474334717,1.8658
0.7940633296966553,2.3667
0.8169262409210205,2.8124
0.8180193901062012,3.258
0.8279366493225098,3.7333
0.8341407775878906,4.2558
0.8461737632751465,4.8337
0.8659193515777588,5.4448
0.8664901256561279,6.0282
0.8738291263580322,6.4985
0.8838412761688232,6.7808
0.8939626216888428,6.8404
0.9134011268615723,6.6881
0.9138617515563965,6.3875
0.9237837791442871,6.0506
0.9338927268981934,5.7853
0.9448249340057373,5.6451
0.954296350479126,5.6332
0.9694650173187256,5.7116
0.9774870872497559,5.7969
0.9836905002593994,5.7763
0.9936587810516357,5.4509
1.014369010925293,4.1218
1.015092372894287,-0.5436
1.024296522140503,-14.5309
1.0339257717132568,-50.0216
1.0440680980682373,-127.1406
1.0729765892028809,-272.9025
1.0737512111663818,-516.8755
1.0745861530303955,-886.2058
