Parametro,Valor
FC (LPM),87.77
PPI (s),0.684
AC (Unidades),1440.00
DC (Unidades),-66219.67
AI (Proxy),1.013
RT (ms),154.8
ST/DT,0.07
Ratio b/a,1.00
Ratio c/a,0.99
Ratio d/a,0.99
Ratio e/a,1.00
