x0000,y0000,x0001,y0001
0.0948617458,-3557.6626505921,,
0.0948834419,-3413.4102677767,,
0.0949039459,-3261.2555900557,,
0.0949249268,-3100.8650027288,,
0.0949456692,-2932.0046179437,,
0.0949661732,-2754.5358567908,,
0.0949869156,-2568.4016255025,,
0.0950076580,-2373.6030053281,,
0.0950281620,-2170.1668561094,,
0.0950486660,-1958.108453555,,
0.0950689316,-1737.3972739539,,
0.0950894356,-1507.9351023518,,
0.0951099396,-1269.5527693578,,
0.095130682,-1022.0264650442,,
0.0951523781,-765.1095159950,,
0.0951733589,-498.5727826166,,
0.0951938629,-222.2460601739,,
0.0952146053,63.9475821947,,
0.0952358246,359.972944936,,
0.0952565670,665.6864845818,,
0.0952761173,980.8656929921,,
0.0952968597,1305.2601914752,,
0.0953176022,1638.6533252354,,
0.0953378677,1980.9182043377,,
0.0953583717,2332.0520588323,,
0.0953786373,2692.1774105531,,
0.0953991413,3061.5059077064,,
0.0954196453,3440.2690473289,,
0.0954394341,3828.6288538490,,
0.0954599380,4226.5894785481,,
0.0954806805,4633.9349273368,,
0.095502615,5050.2169666415,,
0.0955240726,5474.8105562351,,
0.0955438614,5907.0419634847,,
0.0957007408,6346.3773617411,,
0.0957343578,6792.6391255719,,
0.0957560539,7246.1972974776,,
0.0957772732,7708.0711414532,,
0.0957982540,8179.8776116098,,
0.0958192348,8663.5847585502,,
0.0958397388,9161.0679445453,,
0.0958597660,9673.5195378083,,
0.0958802700,10200.8198120991,,
0.0959005356,10741.0268003244,,
0.0959208012,11290.1710226884,,
0.0959410667,11842.5304286634,,
0.0959610939,12391.4975020214,,
0.0959818363,12931.029275118,,
0.0960018635,13457.502047988,,
0.0960221291,13971.6051447869,,
0.0960423946,14479.7494546155,,
0.0960626602,14994.3954072373,,
0.0960831642,15532.7789869124,,
0.1169083118,16113.7714039248,,
0.1172468662,16753.0452697954,,
0.1173019409,17457.2792529862,,
0.1186349392,18218.6988452294,,
0.1187245846,19011.6622552538,,
0.1187434196,19793.0782949226,,
0.1187613010,20508.0341834787,,
0.1187777519,21101.0441294509,,
0.1187944412,21531.8672135351,,
0.1188101768,21793.1142143959,,
0.1188268661,21925.258438709,,
0.1188418865,22023.6888156998,,
0.1361296177,22232.6116037067,,
0.1362676620,22722.3085581135,,
0.1362888813,23649.5918861942,,
0.1363070011,25105.9246812711,,
0.1363248825,27062.7608052847,,
0.1363415718,29327.9045103854,,
0.1363580227,31528.5445753419,,
0.1363744736,33134.6284727138,,
0.1363902092,33529.5354986035,,
0.1364073753,32123.7985387699,,
0.1364257336,28493.6309135554,,
0.136446476,22512.6334117116,,
0.1364681721,14437.1522457579,,
0.1364889145,4908.9958827938,,
0.1365098953,-5141.7730843470,,
0.1369378567,-14677.818864763,,
0.1540069580,-22768.4644844698,,
0.1546521187,-28770.6464292445,,
0.1548249722,-32426.0786005606,,
0.1654503345,-33858.4982380882,,
0.2132916451,-33488.3244421969,,
0.2134625912,-31901.0816516124,,
0.2152783871,-29709.166885501,,
0.237500906,-27438.5947112421,,
0.2376732826,-25458.9122423727,,
0.2564144135,-23960.4249370807,,
0.256565094,-22971.6335374125,,
0.2570114136,-22403.0878745797,,
0.2570817471,-22101.9273985535,,
0.2661702633,-21903.3102462806,,
0.2930617332,-21669.2567168816,,
0.3158848286,-21310.5743600709,,
0.3160216808,-20792.1804077937,,
0.3402457237,-20125.4515345429,,
0.3404202461,-19352.8850097828,,
0.3422231674,-18530.4622469195,,
0.3620316982,-17712.0696141977,,
0.3621387482,-16938.6815198533,,
0.3833892345,-16233.2581753712,,
0.3835232258,-15600.8469446775,,
0.3838310242,-15032.4249558544,,
0.3838694096,-14510.6367708115,,
0.3931708336,-14015.6887649746,,
0.4379086494,-13530.1066752246,,
0.4380812645,-13041.6606669514,,
0.4381000996,-12544.3447343753,,
0.4568638802,-12037.7446099157,,
0.4573395252,-11525.3832521628,,
0.4574422836,-11012.6933945765,,
0.4665298462,-10505.1699185953,,
0.5057477951,-10007.0618315235,,
0.5059368610,-9520.7425740246,,
0.5062465668,-9046.7062216083,,
0.5062787533,-8584.0107642594,,
0.5161528587,-8130.9379831672,,
0.5553939342,-7685.6536480117,,
0.5864682198,-7246.7113527125,,
0.5866241455,-6813.3229529479,,
0.5866501331,-6385.3949113666,,
0.6128473282,-5963.3859763362,,
0.6130175591,-5548.0690803834,,
0.6130378246,-5140.2804577692,,
0.6133899689,-4740.7208875401,,
0.6354489326,-4349.8480781151,,
0.6356277466,-3967.8715446648,,
0.6626558304,-3594.8345641249,,
0.6628293991,-3230.7459659242,,
0.6655981541,-2875.7137819206,,
0.705088377,-2530.0367272128,,
0.7052681446,-2194.2254063746,,
0.7357423306,-1868.9463631964,,
0.7359104156,-1554.9028051744,,
0.7359323502,-1252.6821575649,,
0.7359499931,-962.6091335359,,
0.7381513119,-684.6414552012,,
0.7721302509,-418.3347024929,,
0.7723081112,-162.8871541900,,
0.7739274502,82.741061111,,
0.7944028378,319.6560246672,,
0.7945294380,548.8402053801,,
0.7945487499,770.9861261041,,
0.8209617138,986.3901964603,,
0.821089983,1194.9280650592,,
0.8229930401,1396.1117329598,,
0.8421113491,1589.2079755219,,
0.8422658443,1773.3843353611,,
0.8708360195,1947.8499501129,,
0.8710246086,2111.975129109,,
0.8957681656,2265.397075783,,
0.8959224224,2408.1344921623,,
0.8959455490,2540.7300454282,,
0.9264297485,2664.4164494774,,
0.9265663624,2781.2685425838,,
0.9300608635,2894.2747968355,,
0.9628703594,3007.2519749799,,
0.962993145,3124.5458427942,,
0.9653275013,3250.5092519346,,
0.9824204445,3388.8157935465,,
0.9825949669,3541.7321568410,,
0.9826185703,3709.5109908142,,
