timestamp,Red,IR
1759858104.1504092,48351.0,60263.0
1759858104.1517465,48369.0,60315.0
1759858104.2544806,48399.0,60368.0
1759858104.3173811,48384.0,60439.0
1759858104.387858,48380.0,60375.0
1759858104.4678056,48282.0,59913.0
1759858104.5480576,48244.0,59977.0
1759858104.6278572,48280.0,60135.0
1759858104.707794,48280.0,60175.0
1759858104.7879725,48282.0,60171.0
1759858104.867784,48302.0,60251.0
1759858104.9480906,48338.0,60344.0
1759858105.0271792,48362.0,60415.0
1759858105.107129,48354.0,60503.0
1759858105.1871393,48348.0,60521.0
1759858105.2668421,48371.0,60555.0
1759858105.347007,48354.0,60146.0
1759858105.4271326,48219.0,60029.0
1759858105.5070226,48215.0,60219.0
1759858105.5870876,48267.0,60266.0
1759858105.6668851,48270.0,60244.0
1759858105.747055,48294.0,60365.0
1759858105.825846,48331.0,60470.0
1759858105.905727,48337.0,60551.0
1759858105.9860632,48329.0,60590.0
1759858106.0660686,48339.0,60623.0
1759858106.1460886,48367.0,60668.0
1759858106.2259786,48356.0,60449.0
1759858106.3061662,48237.0,60351.0
1759858106.3858333,48266.0,60500.0
1759858106.4660194,48301.0,60533.0
1759858106.545832,48309.0,60545.0
1759858106.626133,48331.0,60625.0
1759858106.7048793,48333.0,60712.0
1759858106.7852511,48320.0,60749.0
1759858106.864911,48340.0,60770.0
1759858106.9449136,48366.0,60795.0
1759858107.0274544,48350.0,60622.0
1759858107.1105602,48259.0,60574.0
1759858107.1849456,48282.0,60715.0
1759858107.2663496,48320.0,60779.0
1759858107.3450038,48335.0,60789.0
1759858107.4239984,48357.0,60849.0
1759858107.5038693,48342.0,60894.0
1759858107.5841331,48324.0,60926.0
1759858107.6641128,48345.0,60922.0
1759858107.7439575,48375.0,60929.0
1759858107.8241856,48360.0,60835.0
1759858107.9039445,48322.0,60907.0
1759858107.9838612,48337.0,60936.0
1759858108.0642152,48348.0,60917.0
1759858108.1441004,48349.0,60950.0
1759858108.2229779,48373.0,60984.0
1759858108.303116,48352.0,61030.0
1759858108.383009,48344.0,61044.0
1759858108.4631047,48355.0,61038.0
1759858108.5431156,48367.0,60987.0
1759858108.6333122,48350.0,60941.0
1759858108.7222404,48314.0,61021.0
1759858108.7876902,48328.0,61044.0
1759858108.8861082,48334.0,61019.0
1759858108.948034,48338.0,61032.0
1759858109.0318587,48361.0,61052.0
1759858109.1020098,48335.0,61081.0
1759858109.1819382,48323.0,61088.0
1759858109.2618937,48334.0,61078.0
1759858109.3419452,48362.0,61073.0
1759858109.4221325,48346.0,61046.0
1759858109.5023086,48325.0,61104.0
1759858109.5822592,48328.0,61128.0
1759858109.6621702,48345.0,61124.0
1759858109.7420082,48357.0,61132.0
1759858109.8210216,48364.0,61156.0
1759858109.900982,48350.0,61166.0
1759858109.9814014,48315.0,61170.0
1759858110.0609968,48331.0,61157.0
1759858110.140959,48355.0,61174.0
1759858110.224578,48341.0,61121.0
1759858110.3021123,48300.0,61172.0
1759858110.3893383,48311.0,61196.0
1759858110.4612029,48319.0,61170.0
1759858110.541154,48315.0,61183.0
1759858110.6202445,48344.0,61200.0
1759858110.6999793,48320.0,61237.0
1759858110.7803357,48293.0,61215.0
1759858110.860129,48292.0,61186.0
1759858110.940253,48313.0,61189.0
1759858111.0201042,48309.0,61181.0
1759858111.1082146,48287.0,61195.0
1759858111.182501,48285.0,61216.0
1759858111.2683485,48289.0,61199.0
1759858111.3400738,48298.0,61201.0
1759858111.4200177,48325.0,61228.0
1759858111.499196,48309.0,61248.0
1759858111.5793953,48276.0,61255.0
1759858111.6592615,48286.0,61217.0
1759858111.7392535,48295.0,61242.0
1759858111.8188896,48309.0,61254.0
1759858111.8990715,48290.0,61291.0
1759858111.9791508,48280.0,61305.0
