timestamp,Red,IR
1760728273.8047416,54152.0,69490.0
1760728273.8447015,54126.0,69463.0
1760728273.8844295,54132.0,69554.0
1760728273.924466,54188.0,69749.0
1760728273.9656014,54247.0,69877.0
1760728274.0034807,54270.0,69887.0
1760728274.0441582,54271.0,69889.0
1760728274.0836756,54279.0,69953.0
1760728274.123569,54308.0,70039.0
1760728274.1632853,54337.0,70152.0
1760728274.2035599,54388.0,70285.0
1760728274.24401,54423.0,70393.0
1760728274.2833257,54452.0,70479.0
1760728274.3235776,54480.0,70566.0
1760728274.3632848,54506.0,70655.0
1760728274.403564,54521.0,70506.0
1760728274.4433355,54341.0,69856.0
1760728274.4833844,54142.0,69355.0
1760728274.5235474,54020.0,69147.0
1760728274.5636823,53991.0,69132.0
1760728274.6035547,54002.0,69207.0
1760728274.6435752,54063.0,69416.0
1760728274.6836002,54131.0,69551.0
1760728274.7235246,54161.0,69578.0
1760728274.7632537,54150.0,69585.0
1760728274.8026366,54153.0,69629.0
1760728274.8426266,54181.0,69714.0
1760728274.8828373,54219.0,69830.0
1760728274.9223716,54262.0,69959.0
1760728274.9625616,54305.0,70086.0
1760728275.0169368,54337.0,70203.0
1760728275.0513303,54382.0,70277.0
1760728275.0888126,54402.0,70352.0
1760728275.124037,54411.0,70162.0
1760728275.1668987,54223.0,69543.0
1760728275.2048645,54024.0,69036.0
1760728275.2450132,53900.0,68819.0
1760728275.2825234,53872.0,68827.0
1760728275.3360126,53897.0,68947.0
1760728275.3725512,53958.0,69166.0
1760728275.4043076,54028.0,69320.0
1760728275.4442387,54058.0,69361.0
1760728275.4937804,54068.0,69401.0
1760728275.522425,54074.0,69456.0
1760728275.5625236,54105.0,69573.0
1760728275.6023626,54141.0,69700.0
1760728275.641256,54183.0,69840.0
1760728275.6815736,54231.0,69976.0
1760728275.7215354,54280.0,70104.0
1760728275.7614198,54325.0,70195.0
1760728275.8015752,54351.0,70277.0
1760728275.8415332,54380.0,70381.0
1760728275.8814323,54391.0,70149.0
1760728275.9215975,54176.0,69455.0
1760728275.9754138,53964.0,68924.0
1760728276.0019603,53836.0,68707.0
1760728276.049236,53798.0,68709.0
1760728276.0941389,53818.0,68806.0
1760728276.13039,53877.0,69012.0
1760728276.175703,53951.0,69146.0
1760728276.2152312,53974.0,69210.0
1760728276.2412663,53975.0,69224.0
