Tiempo (s),PPG Suavizada,Primera Derivada,Segunda Derivada
127.7558126449585,-69496.26133241826,-65.22578983549465,173369.35525395346
127.78184199333191,-69491.17960164906,1282.4733859879416,158314.46385647042
127.79608416557312,-69475.74175824245,2467.805631868032,133975.5215487912
127.824791431427,-69451.69471153917,3426.081730768601,110000.10731464726
127.83756566047668,-69420.92445055016,4227.807348902388,91265.66792588164
127.85961079597473,-69384.04979395673,4886.332417582707,73737.17590996875
127.88546061515808,-69342.74313186883,5407.602163461888,56081.24785368318
127.89605617523193,-69297.52815934134,5783.632383241638,34079.08009950233
127.92149353027344,-69250.20501373697,5952.867445053926,8789.0625
127.93524217605591,-69202.28228022048,5924.257383241638,-15535.12405547508
127.95528936386108,-69155.4168956051,5704.305460166324,-36317.930116751995
127.979811668396,-69111.01339285781,5343.170501373606,-56666.11220834738
127.99533271789551,-69069.92616758312,4797.647664832766,-77919.76090311437
128.02451252937317,-69034.25103022049,4096.4543269237765,-90066.42771271344
128.03584599494934,-69004.38289835234,3356.584821429351,-98520.13221160405
128.05546355247498,-68980.54567307762,2520.1322115381117,-114728.6551339448
128.08380389213562,-68964.06078296773,1520.926339286234,-137785.18844429756
128.09528732299805,-68956.21085164904,315.569196429351,-159325.90358858078
128.12166023254395,-68959.01167582486,-1028.2881181310586,-148676.27489701362
128.1354763507843,-68972.66346153914,-2063.251201922867,-73360.23351649601
128.15560364723206,-68992.02369505563,-2202.0518543949947,29883.080786419214
128.1829035282135,-69007.89629120946,-1585.1219093401596,78171.95012012235
128.1952588558197,-69017.38564560507,-951.3006524730372,66592.70904867753
128.22364139556885,-69023.11710164903,-519.6385645613191,40340.88470120878
128.23689818382263,-69025.69986263805,-305.8464972536967,9895.743904621668
128.2557830810547,-69028.01064560509,-361.3066620873724,-14188.326322084777
128.2820281982422,-69031.48076923145,-532.8597184070532,-25401.356456086432
128.29587316513062,-69036.5364010996,-767.7283653847553,-29570.52712906716
128.3255970478058,-69043.7644230776,-1005.9881524721277,-25534.15822461602
128.33771204948425,-69052.63221153915,-1176.2748969786117,-20865.974845548863
128.35987091064453,-69062.58482142926,-1339.8437500009095,-26045.24381860074
128.38505744934082,-69074.06971153917,-1592.9987980762235,-35682.09134607514
128.3959321975708,-69088.07280219848,-1910.7572115381117,-38788.84787098968
128.42199730873108,-69104.64182692378,-2213.6203640120584,-34594.18998971841
128.43590259552002,-69123.49072802268,-2464.2642513736064,-26443.649124132662
128.45809984207153,-69144.07005494575,-2636.718749998181,-22596.422132494354
128.48182725906372,-69165.67822802265,-2825.807005493516,-44687.12439921773
128.49616813659668,-69189.28296703365,-3351.712740385665,-63913.8693339305
128.5266718864441,-69219.30563186882,-3848.428914836404,-26013.049450455128
128.53930711746216,-69250.85782967103,-3767.921531592947,43282.64508939128
128.56183099746704,-69279.5923763743,-3155.9065934061437,104048.17350610073
128.57782912254333,-69301.35233516553,-2103.150755495335,144367.59529542088
128.59616422653198,-69313.24278846223,-846.0250686794097,158000.56876713596
128.62229681015015,-69314.8887362644,424.85834477884055,152883.00566601264
128.6378948688507,-69306.44505494577,1600.1030219767927,135119.76304965856
128.67187905311584,-69289.28708791277,2586.7745535733775,107906.13195405285
128.6839096546173,-69265.0566620886,3326.6011332416383,78130.36572792953
128.69791507720947,-69236.0614697809,3836.86040522025,60017.00935780718
128.72180485725403,-69203.66689560507,4286.873282966553,49759.078811689506
128.73605036735535,-69167.47149725344,4633.005666207282,30085.637019226397
128.7561478614807,-69129.53880494575,4768.243475274176,5418.04387034972
128.7767415046692,-69091.17960164906,4719.694368132878,-18408.471411305527
128.79646372795105,-69054.02369505563,4473.707932693287,-37106.69213597839
128.82655000686646,-69019.60027472596,4125.987293957223,-46536.95913475531
128.8401391506195,-68988.00789835231,3729.1165865372022,-52784.00798448501
128.86117672920227,-68959.93440934137,3281.443166205463,-60254.442822611054
128.87592220306396,-68935.50480769303,2765.0455013754254,-67351.95956355255
128.895845413208,-68915.69368131936,2203.811813188622,-71531.86169318814
128.92348551750183,-68900.243818682,1620.535714284415,-78719.25437854088
128.93729639053345,-68889.76510989081,944.3037431319681,-96029.09297723272
128.95628595352173,-68885.1349587919,84.07022664869146,-126615.08413458477
128.98646211624146,-68888.41998626443,-1081.5376030213883,-147766.78399732645
128.99597430229187,-68902.43956044024,-2280.198317308532,-108383.68174802326
129.0262382030487,-68924.90315934137,-2815.6765109897606,-24878.197973805527
129.03655409812927,-68947.49038461607,-2678.2494848894203,33054.226047397606
129.06130051612854,-68967.7551510996,-2286.808894231399,50581.37663115758
129.0772762298584,-68984.07932692378,-1868.947458790899,43619.34452271043
129.09766817092896,-68997.65831044025,-1588.899381868032,29558.454240998344
129.1278350353241,-69009.50171703367,-1396.0121909349255,15175.620278228052
129.14010334014893,-69019.99450549521,-1346.089457416383,-4685.621995065503
129.15968322753906,-69031.03914835233,-1470.9821428559735,-23171.89646305451
129.17679691314697,-69043.5302197809,-1716.8398008252552,-35616.36117797207
129.1965856552124,-69058.50858516553,-2040.8439217035266,-38912.25961530153
129.22290062904358,-69076.18372252816,-2339.43595467008,-36564.75360571676
129.2367353439331,-69095.93956044025,-2625.8799793949947,-34232.0033482224
129.2620701789856,-69118.19780219848,-2887.1480082416383,-29390.775240415223
129.28347611427307,-69142.13392857212,-3096.1323832416383,-18899.43552538398
129.29688668251038,-69167.73592033035,-3189.538976647782,1566.7925823663609
129.32539081573486,-69193.16655219848,-3071.0637019237765,26784.372853626337
129.33963894844055,-69216.87293956113,-2760.9890109897606,38366.29678926329
129.36086654663086,-69237.34237637432,-2457.202953295564,15182.327438253651
129.37864017486572,-69256.18818681386,-2518.071771977702,-17036.18646996574
129.397798538208,-69277.63152472596,-2729.781936815016,-2057.756696501656
129.42709374427795,-69299.8646978029,-2550.9958791217286,52782.666552388946
129.44064116477966,-69318.44745879191,-1885.2592719767927,100732.15358863762
129.4606273174286,-69330.02884615453,-939.2814217035266,123894.66002736072
129.4869511127472,-69333.47596153917,97.05528846097877,134304.17239027293
129.49676656723022,-69328.47596153915,1209.5853365408402,140138.06018203922
129.52772045135498,-69314.12259615451,2339.2642513736064,133872.2312841014
129.5405628681183,-69291.04773351717,3351.541037086463,114472.44162081915
129.56104922294617,-69260.49793956113,4170.823317306713,88462.07503438563
129.5794243812561,-69224.31456044027,4766.934237636633,66619.5376890073
129.59810853004456,-69184.22699175894,5236.73592033083,54530.552455446465
129.6260232925415,-69140.52678571497,5639.4230769237765,36431.95183713033
129.63711309432983,-69093.99622252816,5819.647149724915,3749.302455389625
129.671719789505,-69047.41243131938,5699.4119162100105,-32866.42556656716
129.6830186843872,-69002.8056318688,5293.78434065984,-63433.63667599533
129.69739270210266,-68962.71188186882,4684.473729394085,-74478.9878091865
129.72704339027405,-68927.8540521985,4102.1205357128565,-70226.64835147907
129.73953294754028,-68897.07795329741,3560.84735577042,-70285.67135972707
129.7600965499878,-68870.88049450617,2977.5497939572233,-76689.66775423769
129.77711391448975,-68849.4371565941,2333.812671702617,-82326.36504124002
129.79745841026306,-68833.53949175893,1660.327953297383,-87598.19282278158
129.82264065742493,-68822.87190934134,932.2415865381117,-101731.52043279288
129.836989402771,-68818.62362637432,32.62362637269689,-123897.34289143917
129.8592119216919,-68822.34993131938,-1050.115899724915,-131289.9746736207
129.88301467895508,-68835.42548076992,-2068.015968405234,-89724.36255152161
129.89716839790344,-68855.43818681386,-2485.7057005492607,-6049.858344965742
129.92267417907715,-68875.1967719787,-2164.813701924686,55301.87585850399
129.93755388259888,-68890.07520604465,-1600.8756868131968,63673.75300487765
129.960143327713,-68900.81078296772,-1146.0336538466436,47635.59194708477
129.98608088493347,-68908.4117445062,-838.7062156598404,26893.02884624567
129.99733209609985,-68914.23008241827,-715.7451923067129,2776.7642513936153
130.02460885047913,-68919.86366758311,-794.2779876375425,-19095.284598336093
130.0390965938568,-68926.93853022048,-1021.2697458800903,-30320.387620236033
130.06215691566467,-68936.20398351719,-1279.404189561319,-30064.17410699669
130.0828297138214,-68947.40899725346,-1502.2965315920374,-24452.964028057522
130.09771919250488,-68960.24072802266,-1670.6516140102394,-18810.90101312566
130.12450051307678,-68974.13942307762,-1803.2709478020479,-18472.860147710435
130.13904976844788,-68989.0930631875,-1966.2173763736064,-22470.32752410405
130.15974497795105,-69005.5989010996,-2162.7961881877127,-28734.814989718416
130.18394470214844,-69023.6978021985,-2425.974416209101,-27308.872767775938
130.19808983802795,-69044.41449175894,-2599.7381524721277,-10283.417754010316
130.22648859024048,-69065.29361263805,-2590.509100273266,7795.061384001656
130.23846411705017,-69085.86263736332,-2475.017170328101,11689.23849576231
130.25985527038574,-69104.8938873633,-2403.481284341069,-8235.05108195377
130.28146719932556,-69124.31833791277,-2606.7779876393615,-32328.511332423204
130.29790425300598,-69146.60233516553,-2920.7374656598404,34240.7418095263
130.32424902915955,-69171.05013736333,-2058.9261186869408,91170.19636011036
130.3381862640381,-69179.54515306452,-1462.0143238980745,24882.48250909919
130.36067628860474,-69194.4423665457,-1660.8063985413537,14764.440640078647
130.3817925453186,-69206.11805544118,-1225.7832736568162,58419.459569620354
130.3975133895874,-69214.05489892421,-726.095045427428,66502.59748784038
130.42393970489502,-69217.73557616802,-161.74171385137015,74585.73540617408
130.43747091293335,-69216.64276634583,467.2767210713573,82668.87332433726
130.45915269851685,-69210.25914863088,1160.960259338026,90752.01124250043
130.47950530052185,-69198.06740219642,1919.3089009513642,98835.14916083413
130.4977343082428,-69179.55020621566,2742.322645911372,106918.28707899731
130.52175426483154,-69154.19023986184,3630.001494215321,115001.42499716049
130.53808403015137,-69121.47018230821,4582.34544586594,123084.56291549419
130.56062293052673,-69080.87271272799,5599.354500863228,96354.99114574486
130.5811734199524,-69031.8805102944,6124.025304197858,65583.85041682867


--- Parámetros Calculados ---
Parámetro,Valor
FC (LPM),56.82
PPI (s),1.056
AC (Unidades),907.00
DC (Unidades),-69168.60
AI (Proxy),1.008
RT (ms),1100.2
ST/DT,0.20
Ratio b/a,0.99
Ratio c/a,1.00
Ratio d/a,0.99
Ratio e/a,1.00
