Tiempo (s),PPG Suavizada,Primera Derivada,Segunda Derivada
19.27873659133911,-68293.13254178768,17170.5043998154,-60483.012557369875
19.292306423187256,-68155.76850658916,16686.64029935644,-90803.9813083974
19.33588147163391,-68026.14629699798,15717.640698881041,-121283.87500393955
19.33675503730774,-67904.28625540706,14746.098299293408,-121601.72489302568
19.354106903076172,-67790.20872420928,13772.01310059263,-121919.57478222548
19.388923406600952,-67683.93404579758,12795.3851027778,-122237.42467142528
19.391151189804077,-67585.48256256484,11816.214305849826,-122555.2745605114
19.41178584098816,-67494.87461690398,10834.500709809618,-122873.12444965437
19.442070484161377,-67412.13055120788,9850.244314655356,-123190.97433891102
19.4511137008667,-67337.2707078695,8863.445120387041,-123508.82422799713
19.474656105041504,-67270.31542928169,7874.103127007402,-123826.6741171401
19.49092674255371,-67211.28505783738,6882.2183345128,4355.462749686012
19.530435800552368,-67160.19993592949,7943.790531002378,24973.301187912966
19.5312922000885,-67084.18440934134,7281.791153519407,-243468.68617516293
19.552782773971558,-67043.69127747318,4048.291552199771,-337179.9523320078
19.57900309562683,-67019.41174450614,1886.911916207282,-273158.482143117
19.594260215759277,-67013.50068681386,-322.2441620901009,-239712.55794981515
19.626816272735596,-67024.56765109958,-1948.4890109897606,-149548.20570034144
19.641103744506836,-67044.6765109897,-2715.015453295564,-58340.21935083911
19.650837182998657,-67068.00789835231,-2881.9325206031863,-1903.4920158560453
19.674746990203857,-67090.78743131935,-2745.4713255492607,22817.75841339595
19.69107937812805,-67111.9354395611,-2516.848385988851,21224.137190927195
19.725438117980957,-67131.05700549517,-2405.8851304944255,6881.546188139964
19.74047017097473,-67150.42960164901,-2406.7436469786117,103.29026446243006
19.750852346420288,-67169.56490384683,-2404.2324862630267,-4150.390624886313
19.779232501983643,-67188.89732142922,-2473.1498969767927,-11602.045415713746
19.79471707344055,-67209.13530219845,-2589.8652129144466,-16162.914234428172
19.830278873443604,-67230.33516483585,-2731.7565247276434,-28002.393114547885
19.83095407485962,-67252.8434065941,-3037.9035027472128,-48091.67882871179
19.85310673713684,-67278.9416208798,-3501.223385987032,-50325.16311808876
19.877639770507812,-67308.86298076989,-3843.106112636633,-32352.65710867452
19.890889883041382,-67340.43131868199,-4018.8658997258244,-20057.091346302514
19.927018880844116,-67373.1648351655,-4164.019574177473,-30328.436212244014
19.94259524345398,-67407.05563186883,-4504.120879121729,-60984.1818335326
19.951116800308228,-67445.23076923145,-5139.766483513995,-77541.47707754555
19.979243755340576,-67489.29189560506,-5744.7845123624575,-50337.23600632811
19.994985818862915,-67537.14732142925,-5945.162259615245,15828.897664846409
20.02533483505249,-67584.4144917589,-5491.522149724915,102548.4525240472
20.040027141571045,-67625.01167582485,-4304.387019230489,185597.84941618316
20.051098585128784,-67653.28468406659,-2521.956559065984,247425.79198141355
20.076306104660034,-67665.3629807699,-345.5743475278723,282034.73772316554
20.091017246246338,-67658.81387362703,1990.599244504665,291124.2809924488
20.126111268997192,-67633.51339285783,4312.4141483513085,279634.91586541524
20.140702962875366,-67589.81524725341,6464.7578983513085,253879.42135984075
20.1511869430542,-67530.07726648421,8374.48489010876,222723.321600256
20.17450475692749,-67455.82348901167,10028.331043955404,185414.0732315841
20.190265655517578,-67369.62396978092,11341.110061814106,135412.19522682013
20.210426568984985,-67274.36572802265,12194.926167584526,81879.668183376
20.240857124328613,-67174.50515109957,12651.184752748122,37896.79558713033
20.24996280670166,-67071.94677197868,12801.274896978612,-1777.3974073520549
20.27823257446289,-66969.68475274791,12622.74639423049,-39375.05365729521
20.293789386749268,-66869.98282967099,12171.274038461888,-69593.49244505119
20.310360193252563,-66774.94436813252,11509.25051510967,-96792.36778856648
20.339942693710327,-66685.83482142923,10622.596153844825,-128713.08379129687
20.34983801841736,-66604.982829671,9449.84117444892,-163708.36195039828
20.3742938041687,-66534.63736263805,8003.262362638452,-198317.30769209343
20.390209674835205,-66476.93063186879,6276.764251375425,-240886.3109546928
20.410394430160522,-66434.20913461605,4149.081387363367,-288712.38624662964
20.429957389831543,-66410.54532967097,1657.366071429351,-302353.4083104664
20.45014190673828,-66407.69127747318,-688.5731456040958,-254123.5619850113
20.478602170944214,-66421.56250000064,-2408.6109203308297,-167752.77944719847
20.494717359542847,-66446.22905219847,-3372.617616759271,-78196.09589614629
20.510292053222656,-66475.52438186879,-3659.7484546691703,-13682.606455972746
20.540573358535767,-66504.78502747318,-3591.539320054835,15226.594694240703
20.54986047744751,-66532.98901098967,-3416.122939561319,21146.334134584777
20.582528352737427,-66559.44299450616,-3253.1979739014787,13222.495278114366
20.59885811805725,-66585.04017857209,-3204.563015111489,-2052.3909683447528
20.6113498210907,-66610.71600274794,-3286.0362293949947,-12842.870020449482
20.629971742630005,-66637.61675824241,-3410.048935438681,-18633.831988438487
20.64984917640686,-66665.27678571496,-3584.1775412100105,-28033.246050881644
20.675732374191284,-66694.96359890177,-3858.5808722527872,-42841.3139593431
20.690760374069214,-66727.014079671,-4269.6385645595,-56891.472784968755
20.711336612701416,-66763.27781593472,-4768.844436812287,-54754.57160036967
20.7341570854187,-66803.31559066,-5145.711710165415,-37332.05271305451
20.751625776290894,-66845.60920329737,-5366.157280221159,-19774.049192960774
20.777503728866577,-66889.17410714354,-5462.096497252787,-14845.62800465028
20.79090690612793,-66933.00274725341,-5603.687328295564,-38927.01536750564
20.811988592147827,-66978.83310439627,-6084.928743132878,-83162.07718081614
20.83075475692749,-67030.36160714354,-6934.280563188622,-102128.58430622873
20.851014137268066,-67089.78159340729,-7718.986092032537,-54664.69565578791
20.87474012374878,-67153.86538461606,-7808.915693681229,45741.48995533278
20.89012837409973,-67214.72424450619,-6987.122252747213,152813.25120201928
20.926342248916626,-67265.65934066002,-5363.90367444892,248920.1472355944
20.941409587860107,-67300.54670329737,-3004.399896977702,324323.38169633114
20.94896626472473,-67313.72973901166,-174.72956730762235,355961.055546004
20.976306438446045,-67303.34237637429,2690.9769917583617,344693.0266997583
20.990444898605347,-67270.67410714352,5340.358859888511,317766.4620535552
21.009434938430786,-67217.89663461607,7775.240384615245,285510.38804965856
21.029924154281616,-67146.27026098968,9908.525068683048,245734.2462225256
21.049731254577637,-67059.36023351715,11706.988324175654,199787.5171701935
21.075753450393677,-66958.95844780287,13105.125343406144,141382.9090832337
21.09116220474243,-66849.67822802265,13969.114869507393,76882.83396299767
21.109220027923584,-66735.45260989075,14335.250686814106,19951.118217477415
21.141860723495483,-66620.31421703362,14288.332760987032,-30687.93998977526
21.157318353652954,-66506.83928571496,13844.243646977702,-71725.02790160706
21.180938005447388,-66398.80631868198,13140.732314561319,-99489.98755146476
21.19626498222351,-66296.58756868198,12252.403846154266,-128227.48540520479
21.20910334587097,-66202.76785714351,11089.092548078042,-164672.85156255684
21.22952628135681,-66119.16208791273,9617.638221153356,-208616.8226306313
21.248708486557007,-66048.88564560506,7751.223385987942,-263382.1256868032
21.27565622329712,-65995.14251373692,5403.524210164505,-323227.4317478527
21.29054856300354,-65962.42925824242,2579.584478022298,-366982.26090311434
21.309713125228882,-65953.86916208857,-468.1919642853245,-362841.26030221843
21.34070634841919,-65969.92032967099,-3225.875686813197,-290653.43835856084
21.34865951538086,-66005.48317307758,-5118.646978022298,-173174.84761326795
21.37931537628174,-66051.81868131935,-5996.673248625484,-68117.91723902161
21.39488124847412,-66101.42994505558,-6208.533653846644,-1938.3692480801074
21.410765171051025,-66151.15521978089,-6027.687156594766,32199.73385995445
21.42902398109436,-66197.8729395611,-5693.337912087372,30698.671445748005
21.448698043823242,-66242.24862637429,-5536.508413462798,6281.926081669553
21.472713708877563,-66286.4570741765,-5592.8270947806595,-13756.38521625433
21.489248275756836,-66331.73385989078,-5756.610576922867,-21252.307262955128
21.509586095809937,-66378.56284340727,-5932.864010987942,-20574.88410031283
21.52930736541748,-66426.65968406659,-6085.808722527872,-23444.207160139285
21.54956293106079,-66475.93578296772,-6307.97132555017,-34104.56730750866
21.57868504524231,-66527.58722527539,-6631.481799448011,-41545.49064213597
21.59451961517334,-66582.03949175889,-6972.699175824346,-41479.760474146584
21.609675884246826,-66639.15041208858,-7295.157967034356,-34305.78210850399
21.629629373550415,-66698.76201923144,-7521.59168956041,-25335.626287755986
21.6493661403656,-66759.49587912155,-7700.527987638452,-38033.62165177759
21.675538539886475,-66821.97046703365,-8130.129635988851,-69838.97450197673
21.68910551071167,-66889.57795329737,-8817.95157967008,-71285.03820399601
21.709821939468384,-66963.05769230837,-9270.690247252787,-5569.625686860036
21.741424560546875,-67037.90899725341,-8907.06559065984,113605.87654525034
21.749162435531616,-67105.57074175893,-7452.996222528782,239362.44419650166
21.775636672973633,-67157.15693681387,-5077.266483515814,335535.0703984641
21.79301881790161,-67186.80700549518,-2084.4350961533564,384568.43449517916
21.810084104537964,-67190.50789835233,1075.8284684070532,379193.3164491752
21.828805208206177,-67169.59375000067,3982.6579670334468,343778.17007202795
21.84967541694641,-67126.78537087979,6576.2791895595,307480.3614354664
