tiempo_relativo_s,Crudo,Filtrado,Normalizado
2.0819902420043945,-66980.0,868.1802,0.7242
2.103728771209717,-66943.0,1006.1174,0.7258
2.1354176998138428,-66927.0,1162.5088,0.7276
2.1508238315582275,-66919.0,1334.7079,0.7296
2.1787753105163574,-66934.0,1516.6158,0.7318
2.204097032546997,-66971.0,1698.4146,0.7339
2.2049803733825684,-67013.0,1869.0076,0.7359
2.2404022216796875,-67060.0,2019.6548,0.7377
2.242811918258667,-67120.0,2146.8694,0.7392
2.281141757965088,-67168.0,2252.876,0.7404
2.2865731716156006,-67229.0,2343.7466,0.7415
2.3099913597106934,-67272.0,2426.738,0.7424
2.3403818607330322,-67315.0,2508.0669,0.7434
2.3414547443389893,-67345.0,2592.0022,0.7444
2.3815178871154785,-67411.0,2680.6003,0.7454
2.3864028453826904,-67466.0,2773.1599,0.7465
2.4097464084625244,-67509.0,2866.375,0.7476
2.4386448860168457,-67553.0,2956.4824,0.7486
2.4561209678649902,-67605.0,3041.7856,0.7496
2.491643190383911,-67661.0,3122.863,0.7506
2.4923126697540283,-67691.0,3201.1382,0.7515
2.5268046855926514,-67582.0,3279.2961,0.7524
2.5279133319854736,-67125.0,3367.6587,0.7535
2.55380916595459,-66708.0,3493.364,0.7549
2.564955711364746,-66404.0,3695.4109,0.7573
2.590550661087036,-66239.0,3996.9495,0.7608
2.625396966934204,-66187.0,4377.2666,0.7653
2.6296632289886475,-66189.0,4771.9658,0.7699
2.6520681381225586,-66230.0,5102.3076,0.7738
2.6774275302886963,-66253.0,5311.7549,0.7762
2.7010552883148193,-66302.0,5387.4448,0.7771
2.7017016410827637,-66349.0,5357.6123,0.7768
2.726039409637451,-66411.0,5271.0879,0.7758
2.7513725757598877,-66468.0,5173.3413,0.7746
2.7723073959350586,-66503.0,5091.8184,0.7737
2.7914483547210693,-66525.0,5034.3945,0.773
2.8160064220428467,-66522.0,4996.8408,0.7726
2.8216590881347656,-66497.0,4972.1338,0.7723
2.840956926345825,-66488.0,4956.1289,0.7721
2.862470865249634,-66485.0,4947.9458,0.772
2.8891420364379883,-66503.0,4946.6616,0.772
2.9103269577026367,-66536.0,4948.4126,0.772
2.9342989921569824,-66574.0,4946.3188,0.772
2.9505741596221924,-66611.0,4933.1357,0.7718
2.9738240242004395,-66660.0,4904.5566,0.7715
3.004470109939575,-66703.0,4860.7607,0.771
3.005472183227539,-66759.0,4805.4678,0.7703
3.0373570919036865,-66819.0,4743.5762,0.7696
3.0683796405792236,-66882.0,4678.8296,0.7688
3.069079637527466,-66947.0,4612.8135,0.7681
3.1004819869995117,-67006.0,4545.4746,0.7673
3.101367712020874,-67042.0,4476.6826,0.7665
3.1203012466430664,-67083.0,4407.7676,0.7656
3.140814781188965,-67128.0,4341.6357,0.7649
3.1737823486328125,-67174.0,4280.9927,0.7642
3.18825364112854,-67221.0,4226.3721,0.7635
3.2042651176452637,-67279.0,4175.7964,0.7629
3.224672317504883,-67306.0,4126.0498,0.7623
3.2437942028045654,-67068.0,4077.041,0.7618
3.2762391567230225,-66650.0,4041.3513,0.7614
3.2816662788391113,-66298.0,4050.4092,0.7615
3.3008692264556885,-66044.0,4140.8921,0.7625
3.334336280822754,-65939.0,4324.7954,0.7647
3.3399415016174316,-65921.0,4569.6753,0.7675
3.3596386909484863,-65946.0,4807.918,0.7703
3.3932154178619385,-65991.0,4968.4575,0.7722
3.415414810180664,-66039.0,5008.9414,0.7727
3.418792724609375,-66082.0,4929.7104,0.7718
3.4410593509674072,-66146.0,4765.6294,0.7698
3.4666621685028076,-66209.0,4564.5474,0.7675
3.497819185256958,-66257.0,4366.0728,0.7652
3.5025482177734375,-66289.0,4191.0654,0.7631
3.524625301361084,-66301.0,4043.2217,0.7614
3.542525291442871,-66289.0,3917.145,0.7599
3.566758632659912,-66281.0,3806.2703,0.7586
