Tiempo (s),PPG Suavizada,Primera Derivada,Segunda Derivada
50.03271412849426,-63787.32074175888,-7212.654532965644,-80942.00721149036
50.045411109924316,-63847.81009615447,-7975.188873625484,-109942.4257384669
50.06529784202576,-63914.923763736886,-8971.733344781114,-155441.11650083892
50.08574461936951,-63991.35782967097,-10462.246737638907,-198289.1376200939
50.10526514053345,-64082.31971153911,-12144.359546702617,-160118.6899037259
50.12570381164551,-64185.66758241821,-13024.145776098521,-12408.246050910066
50.14616107940674,-64290.706043956685,-12342.891483517178,186987.57297383394
50.16538763046265,-64383.153846154484,-10032.344608517178,367131.15985568834
50.1898136138916,-64451.22355769296,-6468.792925826165,492933.3361952217
50.20569062232971,-64486.6545329677,-2145.4112293936305,556507.823231641
50.225197553634644,-64485.55013736326,2435.3322458800903,555389.0689386947
50.248400926589966,-64447.68921703362,6740.813873625484,506426.80073841003
50.26572108268738,-64377.69711538525,10538.161057694651,444935.5576064988
50.29612064361572,-64279.07864011051,13859.782795329465,377767.374227119
50.31192994117737,-64155.94059065998,16582.439045328556,290610.5125343288
50.32670211791992,-64013.75961538525,18509.550995878726,182395.8512190984
50.3465461730957,-63859.78777472592,19500.77266483413,70144.82099938845
50.36514663696289,-63701.747252747904,19631.86813186894,-25133.070054778273
50.3895206451416,-63545.677884616016,19098.643543957678,-95513.98308730086
50.40675592422485,-63396.16895604458,18103.644402472128,-142944.33593761368
50.42521786689758,-63256.01957417646,16811.53416895586,-177581.45175133678
50.44471073150635,-63127.18440934129,15262.34117445074,-213747.80005146476
50.46462368965149,-63011.82211538525,13391.569368132423,-258693.82082757397
50.49002170562744,-62912.91929945117,11123.240041209556,-310423.46325560287
50.50355553627014,-62833.8502747259,8424.793956042777,-365592.53734554886
50.52649807929993,-62778.122596154484,5273.759443680774,-426823.54266815993
50.544334411621094,-62749.470123627005,1595.617273352218,-488620.6322973692
50.56372857093811,-62752.59271978085,-2544.170673077133,-515502.9296875284
50.59139537811279,-62790.17685439624,-6652.429601648237,-450458.2331730944
50.60728740692139,-62859.03159340722,-9751.502403846644,-279051.39294304606
50.62543296813965,-62946.200892857785,-11117.251888736973,-77435.50394911836
50.64323592185974,-63036.90762362701,-10990.470467032537,65697.97390119448
50.663330078125,-63122.048420330306,-10066.084306317862,129532.69874660122
50.695945024490356,-63197.9649725281,-8917.947287086918,137579.94934741192
50.71277141571045,-63264.7355769237,-7864.805116759271,113416.73463240909
50.727007150650024,-63323.801854396246,-7103.279532968372,75079.94934763928
50.750181913375854,-63378.38804945119,-6663.525927197043,48487.401270676855
50.7646324634552,-63430.4182692314,-6327.4811126375425,38653.36323821111
50.795655965805054,-63479.62774725339,-6045.072115385665,23772.85800145046
50.80919885635376,-63527.13942307757,-5947.115384614335,-339.3822972839189
50.82353067398071,-63574.78159340722,-6050.5022321422075,-19572.83439224966
50.846455097198486,-63623.947458791845,-6260.28073489033,-26855.468750056843
50.866934061050415,-63674.946085165466,-6480.189732143117,-27758.252489718416
50.88321256637573,-63727.630494506135,-6704.412774725824,-53563.379979379984
50.91332197189331,-63782.21668956108,-7337.203811813197,-125065.73016824518
50.93106150627136,-63845.025755495146,-8705.464457417747,-169283.35336535837
50.95504093170166,-63921.50412087976,-10045.73746565893,-97742.10164832197
50.97016167640686,-64005.75755494569,-10269.338083790899,67262.08361945396
51.001158475875854,-64085.81353022042,-8969.544127747668,247690.0540865188
51.0038537979126,-64149.27026098965,-6306.297218406598,385665.72587563994
51.024922132492065,-64186.71428571492,-2798.892513737428,453536.8196256684
51.048635959625244,-64194.05254120945,950.2918956040958,460641.04352689127
51.06350874900818,-64171.50961538526,4571.364182692832,425554.5479910836
51.09506177902222,-64120.910714286365,7759.1646634614335,365376.5667926052
51.11111664772034,-64047.362980769874,10417.389251374516,302707.5463598976
51.125256061553955,-63954.23248626437,12602.485405219795,244608.7847698095
51.1465048789978,-63845.72321428636,14331.129807691468,178905.4451407992
51.1640260219574,-63724.93440934131,15464.972527472582,97700.51725627127
51.19071078300476,-63598.2836538468,15894.338083791808,17930.921617534066
51.20525503158569,-63470.62500000064,15751.867273353128,-44469.81241417802
51.225659132003784,-63346.253777473146,15182.82108516496,-87720.26313545211
51.24435305595398,-63227.699862638,14348.343063185894,-114908.40702259674
51.263320207595825,-63116.68028846217,13344.286572803412,-139327.83525061153
51.2901816368103,-63014.191277473146,12119.097699176109,-174692.00721160404
51.30274748802185,-62922.774725275354,10549.214457417747,-221534.8128434016
51.3263623714447,-62845.40384615446,8574.540693681683,-278859.56816624
51.34776258468628,-62785.58207417645,6087.461366757907,-352234.55743479804
51.36348509788513,-62748.004464286336,2938.787774724915,-433018.27566958196
51.38163900375366,-62738.56146978085,-840.8310439554043,-494973.65427535557
51.418763875961304,-62761.45776098962,-4980.790693680774,-486738.60319374286
