tiempo_relativo_s,Crudo,Filtrado,Normalizado
1.2493932247161865,-63264.0,60.2044,0.4427
1.2684416770935059,-63255.0,31.2204,0.4425
1.288550615310669,-63248.0,17.9968,0.4424
1.314229965209961,-63267.0,20.2822,0.4424
1.3342900276184082,-63302.0,33.3006,0.4425
1.3560547828674316,-63353.0,48.0428,0.4426
1.372549295425415,-63404.0,54.3607,0.4426
1.3979322910308838,-63448.0,45.1645,0.4426
1.4131810665130615,-63496.0,19.3729,0.4424
1.4352624416351318,-63552.0,-18.3091,0.4422
1.457205057144165,-63606.0,-60.6229,0.442
1.4784770011901855,-63652.0,-101.4015,0.4417
1.488990306854248,-63688.0,-137.1291,0.4415
1.5111753940582275,-63734.0,-166.4411,0.4413
1.5303900241851807,-63757.0,-189.183,0.4412
1.553076982498169,-63777.0,-205.5981,0.4411
1.5701520442962646,-63792.0,-215.5829,0.441
1.5894818305969238,-63819.0,-218.7138,0.441
1.6081414222717285,-63844.0,-215.3042,0.441
1.6424720287322998,-63871.0,-207.2513,0.4411
1.6534087657928467,-63894.0,-197.4678,0.4411
1.6880667209625244,-63929.0,-188.5961,0.4412
1.6891522407531738,-63963.0,-182.2029,0.4412
1.7133870124816895,-63996.0,-178.8423,0.4413
1.7472660541534424,-64025.0,-178.2525,0.4413
1.7576868534088135,-64021.0,-179.0932,0.4413
1.7802832126617432,-63870.0,-177.2716,0.4413
1.8030791282653809,-63576.0,-161.5012,0.4414
1.8200342655181885,-63265.0,-110.027,0.4417
1.8543815612792969,-63008.0,2.6599,0.4423
1.8553519248962402,-62863.0,188.3304,0.4434
1.8742551803588867,-62799.0,429.7122,0.4449
1.8904376029968262,-62807.0,681.2739,0.4464
1.9099130630493164,-62828.0,887.3761,0.4476
1.9497408866882324,-62866.0,1006.3157,0.4483
1.9506518840789795,-62910.0,1026.1128,0.4484
1.9728577136993408,-62987.0,964.2183,0.448
1.9890055656433105,-63078.0,853.8107,0.4474
2.0155317783355713,-63168.0,726.767,0.4466
2.052555799484253,-63237.0,603.3051,0.4459
2.060521364212036,-63282.0,491.4975,0.4452
2.0848898887634277,-63298.0,393.0338,0.4447
2.0971970558166504,-63296.0,309.0436,0.4442
2.1342124938964844,-63292.0,242.3886,0.4438
2.1372463703155518,-63308.0,195.8748,0.4435
2.168987512588501,-63321.0,168.8474,0.4433
2.170060634613037,-63345.0,155.6421,0.4432
2.1880815029144287,-63375.0,147.4798,0.4432
2.2200162410736084,-63429.0,135.8278,0.4431
2.2401556968688965,-63475.0,114.7809,0.443
2.2594265937805176,-63533.0,81.9782,0.4428
2.2757959365844727,-63586.0,38.5076,0.4425
2.3049001693725586,-63643.0,-12.0107,0.4423
2.3078839778900146,-63686.0,-64.9595,0.4419
2.3414011001586914,-63718.0,-115.8336,0.4416
2.3631973266601562,-63746.0,-160.6758,0.4414
2.376382827758789,-63778.0,-196.5268,0.4412
2.394286870956421,-63814.0,-222.3009,0.441
2.4124703407287598,-63834.0,-239.276,0.4409
2.4299309253692627,-63871.0,-250.2901,0.4408
2.448718547821045,-63915.0,-258.439,0.4408
2.478816032409668,-63956.0,-266.5139,0.4407
2.489772319793701,-63987.0,-276.6405,0.4407
2.5179860591888428,-64029.0,-289.4695,0.4406
2.533900260925293,-64070.0,-303.9782,0.4405
2.5575063228607178,-64118.0,-318.5497,0.4404
2.5716240406036377,-64171.0,-332.2879,0.4403
2.5933406352996826,-64211.0,-345.4031,0.4403
2.620175838470459,-64228.0,-358.268,0.4402
2.6413660049438477,-64135.0,-368.8601,0.4401
2.651674270629883,-63890.0,-368.4601,0.4401
2.66955304145813,-63585.0,-338.0466,0.4403
2.6991384029388428,-63312.0,-252.2047,0.4408
2.716811180114746,-63133.0,-93.781,0.4418
2.735400915145874,-63036.0,129.5154,0.4431
2.7534213066101074,-63006.0,380.8512,0.4446
2.7714381217956543,-63022.0,607.4255,0.4459
2.8017826080322266,-63038.0,762.7818,0.4468
2.8208236694335938,-63064.0,825.0182,0.4472
2.8398354053497314,-63105.0,801.8547,0.4471
2.856961250305176,-63167.0,721.6031,0.4466
2.882333517074585,-63264.0,616.7932,0.446
2.9119975566864014,-63335.0,510.3828,0.4454
2.9253745079040527,-63379.0,411.6184,0.4448
2.9404120445251465,-63406.0,321.3305,0.4442
2.947556972503662,-63417.0,239.4805,0.4437
2.977236270904541,-63435.0,168.5103,0.4433
2.9870662689208984,-63446.0,111.8591,0.443
3.00958514213562,-63466.0,70.8521,0.4427
3.049208641052246,-63505.0,42.9627,0.4426
3.0578174591064453,-63544.0,22.188,0.4425
3.092770576477051,-63584.0,1.166,0.4423
3.102539300918579,-63638.0,-25.9084,0.4422
3.122081995010376,-63696.0,-61.4892,0.442
3.131917953491211,-63741.0,-104.8396,0.4417
3.1478970050811768,-63806.0,-153.1275,0.4414
3.177963972091675,-63868.0,-202.8674,0.4411
3.2009363174438477,-63920.0,-251.3999,0.4408
3.218768358230591,-63967.0,-297.1719,0.4406
3.23042368888855,-64005.0,-338.942,0.4403
3.250757932662964,-64045.0,-375.1609,0.4401
3.2787046432495117,-64095.0,-404.4409,0.4399
3.3003549575805664,-64147.0,-426.7356,0.4398
3.3204729557037354,-64185.0,-443.8357,0.4397
3.344278573989868,-64226.0,-458.2382,0.4396
3.3615212440490723,-64263.0,-471.3966,0.4395
3.3850841522216797,-64307.0,-483.2306,0.4395
3.4010207653045654,-64361.0,-493.0615,0.4394
3.421203851699829,-64422.0,-500.9889,0.4393
3.4537925720214844,-64473.0,-508.4767,0.4393
3.4712789058685303,-64517.0,-517.2963,0.4393
3.4742157459259033,-64563.0,-527.8236,0.4392
3.4962525367736816,-64592.0,-538.3397,0.4391
3.5305259227752686,-64524.0,-545.0018,0.4391
3.5319440364837646,-64317.0,-539.7357,0.4391
3.5523672103881836,-64054.0,-506.7034,0.4393
3.573078155517578,-63796.0,-424.2906,0.4398
3.588348627090454,-63599.0,-276.4944,0.4407
3.608576774597168,-63487.0,-66.9822,0.4419
3.630459785461426,-63446.0,175.422,0.4434
3.652087450027466,-63450.0,405.1556,0.4447
3.6730992794036865,-63458.0,577.9077,0.4458
3.688586473464966,-63473.0,668.252,0.4463
3.722144365310669,-63504.0,677.4248,0.4463
3.727553367614746,-63555.0,627.746,0.446
3.7483365535736084,-63629.0,548.594,0.4456
3.7669155597686768,-63698.0,463.0315,0.4451
3.788011074066162,-63745.0,382.1625,0.4446
3.8207814693450928,-63777.0,308.0247,0.4441
3.8413147926330566,-63786.0,240.1104,0.4437
3.8482248783111572,-63774.0,180.0006,0.4434
3.8701283931732178,-63786.0,131.789,0.4431
3.8981993198394775,-63809.0,98.9758,0.4429
3.9166274070739746,-63846.0,80.4945,0.4428
3.935014009475708,-63880.0,69.8063,0.4427
3.952511787414551,-63922.0,58.007,0.4427
3.9703166484832764,-63972.0,38.1631,0.4425
3.9887282848358154,-64030.0,7.6171,0.4424
4.006845712661743,-64077.0,-32.3851,0.4421
4.0379884243011475,-64143.0,-78.3128,0.4419
4.066220045089722,-64192.0,-126.0996,0.4416
4.067238807678223,-64231.0,-172.3703,0.4413
4.09387993812561,-64260.0,-214.3564,0.441
4.114863395690918,-64299.0,-249.5228,0.4408
4.133171081542969,-64336.0,-276.1797,0.4407
4.150960683822632,-64364.0,-294.4588,0.4406
4.1720404624938965,-64393.0,-306.1603,0.4405
4.198431491851807,-64425.0,-313.4889,0.4405
4.217044830322266,-64450.0,-318.187,0.4404
4.234620809555054,-64498.0,-321.4087,0.4404
4.255269289016724,-64535.0,-324.1933,0.4404
4.284307956695557,-64584.0,-327.8335,0.4404
4.289419651031494,-64626.0,-333.5754,0.4403
4.309295892715454,-64675.0,-341.9582,0.4403
4.327885627746582,-64693.0,-352.3708,0.4402
4.358423709869385,-64642.0,-362.0178,0.4402
4.3669373989105225,-64481.0,-363.5832,0.4402
