timestamp,Crudo,Filtrado,Normalizado
1761575731.9168942,-155.0,-5.703479293666178e-57,0.4422
1761575731.9374952,-149.0,-1.4830659793095128e-56,0.4422
1761575731.959708,-143.0,-1.7181346457138928e-56,0.4422
1761575731.9769719,-140.0,-1.053092841059903e-56,0.4422
1761575731.9967086,-134.0,2.674803607812992e-57,0.4422
1761575732.0168197,-127.0,1.6025309621514441e-56,0.4421
1761575732.0369859,-129.0,2.214177718511487e-56,0.4421
1761575732.057207,-123.0,1.6623025367129644e-56,0.4421
1761575732.0764823,-119.0,8.889281948617938e-58,0.4421
1761575732.096384,-112.0,-1.7803264783142413e-56,0.4421
1761575732.1165664,-108.0,-2.9567585461747645e-56,0.4421
1761575732.1365447,-106.0,-2.699164826941067e-56,0.4421
1761575732.1562116,-101.0,-9.571350813204179e-57,0.4421
1761575732.175481,-102.0,1.5064903319625592e-56,0.4421
1761575732.1955817,-100.0,3.425805257625503e-56,0.4421
1761575732.2155414,-99.0,3.6622729809259657e-56,0.4421
1761575732.2355316,-96.0,1.8507219343305398e-56,0.4421
1761575732.2556233,-95.0,-1.293874143089044e-56,0.4421
1761575732.2761664,-91.0,-4.224402887797574e-56,0.4421
1761575732.2961051,-93.0,-5.302730235053567e-56,0.442
1761575732.315714,-89.0,-3.69148986770702e-56,0.442
1761575732.3353739,-87.0,7.547019991939842e-58,0.442
1761575732.3554025,-86.0,4.202341891938314e-56,0.442
1761575732.3760896,-88.0,6.45172777570018e-56,0.442
1761575732.3954551,-85.0,5.319171673925907e-56,0.442
1761575732.4156666,-80.0,9.613424291146412e-57,0.442
1761575732.4353926,-78.0,-4.667379632245985e-56,0.442
1761575732.4554465,-69.0,-8.651489550953385e-56,0.442
1761575732.4754617,-71.0,-8.593040819182382e-56,0.442
1761575732.4956245,-73.0,-4.0027797096934886e-56,0.442
1761575732.5160675,-76.0,3.175140332194964e-56,0.442
1761575732.5360932,-76.0,9.309802950270194e-56,0.442
1761575732.5558608,-74.0,1.0859297608394913e-55,0.442
1761575732.5761592,-72.0,6.333657619806606e-56,0.4419
1761575732.5960722,-76.0,-2.6120949602737224e-56,0.4419
1761575732.61605,-77.0,-1.1672623741895168e-55,0.4419
1761575732.6360302,-76.0,-1.5912500023566793e-55,0.4419
1761575732.6560185,-78.0,-1.2400799884940521e-55,0.4419
1761575732.6778162,-80.0,-2.0898951090393426e-56,0.4419
1761575732.6965184,-82.0,1.0196195596404894e-55,0.4419
1761575732.7152915,-83.0,1.7906652905444495e-55,0.4419
1761575732.7345054,-85.0,1.6141566855935834e-55,0.4419
1761575732.754843,-89.0,4.564766689875632e-56,0.4419
1761575732.7748742,-85.0,-1.1812901322606961e-55,0.4418
1761575732.7974262,-82.0,-2.4690227645675574e-55,0.4418
1761575732.8154223,-89.0,-2.6612082867525483e-55,0.4418
1761575732.8345783,-90.0,-1.5181176901015336e-55,0.4418
1761575732.85415,-94.0,4.9626266577768225e-56,0.4418
1761575732.8743806,-99.0,2.3775616318975617e-55,0.4419
1761575732.8949523,-102.0,3.062816559457229e-55,0.4419
1761575732.9153705,-109.0,2.0071364019365057e-55,0.4418
1761575732.9354181,-107.0,-4.496064235538883e-56,0.4418
1761575732.954857,-106.0,-3.1549563180105972e-55,0.4418
1761575732.9779422,-107.0,-4.6721080251704835e-55,0.4418
1761575732.994858,-113.0,-4.032790395982589e-55,0.4418
1761575733.0145628,-111.0,-1.3299485171541133e-55,0.4418
1761575733.0351079,-119.0,2.1962368380869948e-55,0.4418
1761575733.0550704,-116.0,4.69159002666817e-55,0.4419
1761575733.0752988,-122.0,4.6271381161251695e-55,0.4419
1761575733.0953104,-122.0,1.6803985903284242e-55,0.4419
1761575733.1146312,-121.0,-2.9328780307672865e-55,0.4419
1761575733.1361196,-121.0,-6.929253211194421e-55,0.4419
1761575733.155038,-123.0,-8.0747587704296e-55,0.4419
1761575733.1745996,-124.0,-5.417836543297008e-55,0.4419
1761575733.1946964,-132.0,2.4232200707201602e-57,0.4419
1761575733.215268,-129.0,5.5720899139140135e-55,0.442
1761575733.2352605,-129.0,8.142454926320643e-55,0.442
1761575733.255269,-127.0,5.8881028967586444e-55,0.442
1761575733.2753215,-128.0,-6.319866171846199e-56,0.442
1761575733.2953372,-133.0,-8.454254544056476e-55,0.442
1761575733.315421,-136.0,-1.3531740332285375e-54,0.4421
1761575733.3365028,-135.0,-1.2817050457522526e-54,0.4421
1761575733.3546953,-132.0,-6.060653653909171e-55,0.4421
1761575733.3750105,-140.0,3.698069841242498e-55,0.4421
1761575733.3952444,-132.0,1.1381461483980886e-54,0.4421
